dataset,column,type,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std,rmse,rmse_mean_std,mae,mae_mean_std
beijing,year,cat,0.5240506329113924,0.525401±0.017802,0.5229145108028028,0.521844±0.018060,0.5303233484542903,0.529867±0.018121,0.5219481570556265,0.522356±0.018691,,,,
beijing,month,cat,0.6755725190839694,0.676154±0.017178,0.6708245816948656,0.669246±0.017673,0.6732825779414778,0.672643±0.015841,0.6707235798288312,0.671275±0.017661,,,,
beijing,day,cat,0.21428571428571427,0.213579±0.014184,0.20651101127904606,0.203149±0.013914,0.21554699446124473,0.215668±0.014280,0.21384307841899455,0.214743±0.013678,,,,
beijing,hour,cat,0.1310096153846154,0.129623±0.011833,0.1196236605708166,0.117604±0.011791,0.1434426703344683,0.139608±0.021261,0.13262637569639482,0.133231±0.012162,,,,
beijing,pm2.5,num,,,,,,,,,0.6129744118605542,0.613023±0.026434,0.4280592069627095,0.428255±0.015186
beijing,DEWP,num,,,,,,,,,0.2804367103330105,0.280858±0.010698,0.2001782297962055,0.200166±0.007319
beijing,TEMP,num,,,,,,,,,0.2761080662303303,0.275472±0.010391,0.21037608668599617,0.210962±0.006245
beijing,PRES,num,,,,,,,,,0.4161012686825827,0.415716±0.011746,0.3208815580221034,0.320150±0.009047
beijing,cbwd,cat,0.6422764227642277,0.642269±0.016625,0.5228284721452224,0.522409±0.016240,0.6052280233293514,0.606299±0.047663,0.5508159666815615,0.550335±0.013959,,,,
beijing,Iws,num,,,,,,,,,0.6067508025122396,0.602329±0.052914,0.30187461630944556,0.301622±0.017893
beijing,Is,num,,,,,,,,,0.3997328480517661,0.383886±0.086323,0.057619701561388376,0.057236±0.012772
beijing,Ir,num,,,,,,,,,0.7918237929672147,0.772438±0.118181,0.1745287641783289,0.173941±0.025589
