year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
2010,2,1,8,18.393600463867188,-18.855249404907227,-4.1053571701049805,1033.1103515625,NW,37.582366943359375,0.007696773856878281,-0.014359384775161743
2014,11,27,9,74.23977661132812,-17.435312271118164,0.8836164474487305,1024.8720703125,NW,16.33722686767578,0.007150549441576004,-0.0063834041357040405
2011,4,11,9,46.210304260253906,-12.309819221496582,9.542922019958496,1021.4505004882812,NW,21.024600982666016,0.004470992833375931,0.01611541211605072
2013,4,17,4,94.55259704589844,-1.3624852895736694,2.4381513595581055,1022.573486328125,cv,12.514908790588379,0.010063335299491882,0.008228287100791931
2010,12,10,4,285.248046875,-6.446473121643066,-2.8498735427856445,1012.2460327148438,NW,7.011329650878906,0.003490827977657318,-0.037246569991111755
2014,11,14,10,54.844482421875,-13.581253051757812,3.1286191940307617,1025.3394775390625,SE,36.718902587890625,0.005166761577129364,0.006455034017562866
2012,6,13,21,118.85982513427734,11.859609603881836,25.297679901123047,1013.171875,SE,9.48272705078125,0.01447136327624321,0.20249980688095093
2010,4,8,8,107.04084777832031,0.20563185214996338,11.73920726776123,1011.8033447265625,SE,109.26004028320312,-0.008498139679431915,0.008124515414237976
2012,8,16,12,97.00563049316406,16.830148696899414,28.227279663085938,1004.1788940429688,cv,0.8726291656494141,0.017310380935668945,0.05882437527179718
2011,5,14,9,32.479225158691406,-0.7057896852493286,22.9039306640625,1008.3426513671875,NW,51.88985824584961,0.0036859549582004547,-0.005112290382385254
2012,1,6,7,66.9323959350586,-18.652244567871094,-4.772482872009277,1031.390380859375,NW,2.657825469970703,0.02627195417881012,0.015154853463172913
2014,8,16,8,65.75157165527344,19.22087287902832,21.007766723632812,1008.1033325195312,cv,1.8728523254394531,0.0070665813982486725,0.10634308308362961
2011,12,28,16,86.70535278320312,-6.173010349273682,-1.1359024047851562,1028.450439453125,SE,7.9261627197265625,0.009192626923322678,-0.000683322548866272
2010,9,10,23,79.41161346435547,13.93371868133545,23.016422271728516,1009.2802124023438,SE,18.08454132080078,-0.0005148984491825104,0.05708128213882446
2013,10,1,15,58.36930465698242,7.731830596923828,21.463794708251953,1017.8508911132812,cv,7.669025421142578,0.01217452809214592,0.01872144639492035
2014,12,1,16,32.23590850830078,-18.561279296875,10.257179260253906,1020.03955078125,NW,44.163238525390625,0.006491132080554962,0.0036999136209487915
2010,9,7,9,180.8656005859375,23.166696548461914,24.267135620117188,1010.9998168945312,SE,16.069862365722656,0.007414620369672775,0.09033817797899246
2010,4,27,18,28.14519500732422,-10.341986656188965,18.103656768798828,1011.4379272460938,NW,171.58961486816406,-0.01193469762802124,0.013187170028686523
2014,12,24,16,34.055213928222656,-20.889251708984375,0.9646739959716797,1029.60302734375,NW,66.71778869628906,0.014649782329797745,0.0069367289543151855
2011,6,7,4,161.34437561035156,21.063640594482422,20.6657772064209,1008.8555297851562,SE,18.134174346923828,-0.000347968190908432,0.11597862094640732
2012,4,29,14,26.03533172607422,-11.83210277557373,17.84184455871582,1011.0838623046875,NW,78.63192749023438,-0.004356682300567627,-0.017854362726211548
2010,7,10,20,28.73474884033203,14.404017448425293,32.82782745361328,1001.4866943359375,SE,17.22690200805664,-0.004251584410667419,0.00698341429233551
2013,10,6,6,204.45913696289062,15.233879089355469,17.658710479736328,1010.6598510742188,cv,0.08452415466308594,-0.008469097316265106,0.16161425411701202
2013,3,10,9,26.443527221679688,-20.57069206237793,-5.802069664001465,1032.0284423828125,NW,19.001306533813477,0.005014769732952118,-0.020764052867889404
2013,11,22,0,214.9016571044922,-2.228726863861084,7.740444183349609,1019.8704833984375,cv,2.1521759033203125,0.008995834738016129,0.06325370073318481
2012,11,22,18,25.73834991455078,-11.50592041015625,11.87767219543457,1026.1610107421875,NW,76.65774536132812,0.0031747929751873016,0.023085281252861023
2012,3,17,8,241.60015869140625,-2.6438021659851074,2.00289249420166,1014.4859008789062,cv,7.3929901123046875,0.03158526122570038,0.0983169749379158
2010,1,5,10,30.643280029296875,-24.005783081054688,-13.109602928161621,1032.2156982421875,NW,49.394439697265625,0.015499241650104523,-0.02302868664264679
2013,3,5,11,91.87854766845703,-2.136247158050537,11.625056266784668,1018.5076293945312,SE,16.87961196899414,0.00014577805995941162,0.041064485907554626
2013,10,8,21,80.50202941894531,10.730425834655762,16.39142608642578,1017.5603637695312,SE,11.777060508728027,0.005741745233535767,0.09465879946947098
2012,2,2,0,141.74395751953125,-5.188287258148193,-2.213057518005371,1025.5242919921875,cv,3.8958568572998047,0.04354821518063545,0.05507628619670868
2010,1,14,7,41.278350830078125,-21.508604049682617,-10.52332592010498,1033.5233154296875,NW,35.92151641845703,0.01647656410932541,-0.023301705718040466
2013,1,13,2,321.06451416015625,-7.952115058898926,-2.542644500732422,1026.4400634765625,cv,1.3622608184814453,0.02269119769334793,0.0060034096240997314
2011,10,28,21,105.4814682006836,3.1715874671936035,10.469175338745117,1024.041259765625,cv,8.591312408447266,-0.0018644556403160095,0.019402623176574707
2013,9,1,10,58.36716079711914,13.274236679077148,26.41051483154297,1013.49560546875,SE,3.721923828125,0.011843927204608917,0.09447966516017914
2014,11,14,10,38.10798645019531,-8.14996337890625,6.618349075317383,1027.2314453125,cv,13.317083358764648,0.010824006050825119,0.0079774409532547
2013,12,21,12,27.425804138183594,-20.950538635253906,-0.8817243576049805,1032.7852783203125,cv,10.663535118103027,0.008494656533002853,0.007515743374824524
2010,7,18,7,136.36241149902344,22.683807373046875,24.451358795166016,1008.7863159179688,SE,26.297021865844727,-0.0029230788350105286,0.09494638442993164
2011,5,13,9,52.8875846862793,-5.077380180358887,19.47184944152832,1010.6792602539062,NW,173.2209014892578,-0.005482889711856842,-0.04382289946079254
2014,11,29,19,69.90851593017578,-5.918142795562744,3.279766082763672,1029.838134765625,SE,9.401507377624512,0.004612810909748077,0.0005769729614257812
2013,2,16,13,175.47528076171875,-13.742720603942871,-1.0736351013183594,1024.1036376953125,cv,2.7984275817871094,0.02196533977985382,0.0021483153104782104
2012,11,7,18,22.686126708984375,-11.626094818115234,13.471189498901367,1021.0487060546875,NW,93.88754272460938,0.009857885539531708,0.028022438287734985
2013,1,20,11,146.88775634765625,-11.885568618774414,-2.024515151977539,1027.5556640625,cv,7.942354202270508,0.8547725677490234,0.02914316952228546
2010,3,14,2,70.85318756103516,-5.738370895385742,0.9369525909423828,1024.58154296875,SE,20.622600555419922,0.3215785026550293,0.06546403467655182
2013,12,30,21,54.43961715698242,-12.9735746383667,-6.0307722091674805,1022.03369140625,cv,2.498260498046875,0.013560302555561066,0.005914345383644104
2011,6,21,12,128.20716857910156,16.859495162963867,27.042251586914062,1002.9628295898438,cv,2.929758071899414,0.01632116362452507,0.014612048864364624
2010,7,19,15,138.59979248046875,22.255258560180664,28.830970764160156,1004.527587890625,SE,20.956682205200195,0.0074881911277771,0.03369341790676117
2010,1,3,9,28.748504638671875,-28.343629837036133,-13.863665580749512,1034.7939453125,NW,74.21250915527344,0.01383364200592041,-0.013051807880401611
2012,10,13,6,43.71240997314453,8.532901763916016,10.251224517822266,1018.8978881835938,NW,8.72701358795166,0.012278281152248383,0.11097824573516846
2014,6,16,4,120.801025390625,18.303335189819336,22.13440704345703,1005.1077880859375,cv,0.7419605255126953,0.00589415431022644,0.1729809045791626
2012,2,7,4,18.175918579101562,-25.015573501586914,-4.492011070251465,1036.248779296875,NE,31.18804931640625,0.013763070106506348,0.02271077036857605
2013,11,28,6,14.787155151367188,-33.05678176879883,-2.4762001037597656,1029.2047119140625,NW,341.927490234375,-0.05326533317565918,-0.05936479568481445
2013,7,4,6,37.08115768432617,19.408077239990234,23.56130027770996,1007.526123046875,NW,6.515350341796875,-0.004248067736625671,0.3643988370895386
2013,11,26,21,49.410953521728516,-8.060738563537598,1.8479652404785156,1024.88671875,cv,7.295654296875,-0.0038054361939430237,-0.006601423025131226
2013,3,29,15,97.20616912841797,-2.554717540740967,6.7502546310424805,1016.335205078125,SE,19.148679733276367,0.006716366857290268,0.03471896052360535
2014,4,4,0,91.09949493408203,0.5930839776992798,13.072591781616211,1017.6092529296875,SE,25.132497787475586,0.006939433515071869,0.042109414935112
2010,5,4,20,85.80172729492188,5.0807013511657715,18.613283157348633,1010.3475341796875,SE,31.80878257751465,0.004487093538045883,0.029295459389686584
2012,2,10,3,26.267723083496094,-21.068822860717773,-4.8606157302856445,1033.0958251953125,NW,127.40721893310547,0.0008583217859268188,0.015270829200744629
2013,11,17,3,18.09515380859375,-21.888647079467773,4.410185813903809,1024.0279541015625,NW,106.0066146850586,-0.003659360110759735,0.003743588924407959
2012,4,22,14,222.03076171875,11.968496322631836,19.675403594970703,1004.2313842773438,SE,20.544879913330078,-0.01608336716890335,-0.000235825777053833
2013,10,28,11,55.97983169555664,-0.3109349012374878,18.252832412719727,1025.097900390625,SE,1.9232311248779297,-0.005370773375034332,0.009818270802497864
2014,2,3,15,22.69556427001953,-22.812082290649414,6.408442497253418,1028.2401123046875,NW,21.905532836914062,0.027772042900323868,0.01890982687473297
2011,6,29,7,167.57073974609375,21.209463119506836,22.663005828857422,1003.743896484375,cv,6.954404830932617,0.0031700432300567627,0.1072428971529007
2010,1,15,12,23.41326141357422,-22.07699203491211,-5.91348934173584,1032.3924560546875,NW,134.90499877929688,-0.002237282693386078,0.018893897533416748
2014,7,9,12,51.195404052734375,17.733375549316406,31.989349365234375,1003.8277587890625,cv,1.3178024291992188,0.005557261407375336,-0.007592111825942993
2014,2,13,10,111.1364517211914,-8.85377025604248,-0.26717376708984375,1030.7271728515625,SE,16.531925201416016,0.03944390267133713,-0.029576793313026428
2014,11,7,17,21.58332061767578,-11.045923233032227,8.773183822631836,1021.2745361328125,NW,65.36861419677734,0.014586862176656723,0.020124852657318115
2012,7,8,0,38.08662414550781,21.10830307006836,21.54703712463379,1002.8683471679688,cv,1.4626903533935547,0.00018029287457466125,0.020514026284217834
2012,5,16,7,83.09230041503906,21.240550994873047,21.520877838134766,1005.9700927734375,SE,22.605852127075195,0.009027302265167236,0.11500028520822525
2011,5,24,4,71.6437759399414,8.110010147094727,20.741636276245117,1010.7200317382812,SE,56.41503143310547,-0.002183765172958374,0.03031209111213684
2011,10,29,15,267.51116943359375,11.006620407104492,15.664569854736328,1022.0499267578125,SE,6.766536712646484,-0.0009695291519165039,-0.013072341680526733
2010,10,15,22,20.084442138671875,2.7555627822875977,13.764330863952637,1016.366455078125,NW,71.82852172851562,0.010849352926015854,-0.004424765706062317
2010,12,27,18,55.05122756958008,-12.523959159851074,1.4413433074951172,1018.5202026367188,SE,8.288196563720703,-0.004074588418006897,-0.0024212151765823364
2012,9,28,17,15.573127746582031,-6.4643402099609375,19.560611724853516,1015.271728515625,NW,178.33819580078125,-0.00975491851568222,-0.03404650092124939
2014,4,21,2,104.31298065185547,3.3616390228271484,10.01616096496582,1016.0657958984375,cv,18.586956024169922,0.0029164403676986694,0.03110586106777191
2010,5,16,8,160.20797729492188,9.299345016479492,18.014156341552734,1005.0009155273438,SE,26.501670837402344,-0.0035756826400756836,0.35339856147766113
2012,2,22,6,42.513328552246094,-16.577072143554688,-6.803744316101074,1030.9910888671875,NW,13.950601577758789,0.024696219712495804,0.02722717821598053
2010,5,4,9,72.56685638427734,11.285660743713379,17.368133544921875,1010.8757934570312,SE,24.25240135192871,0.011372547596693039,0.08745355159044266
2012,5,7,15,51.87047576904297,12.615732192993164,25.093984603881836,1003.9417724609375,SE,21.335294723510742,0.0007071755826473236,-0.04334643483161926
2013,9,27,0,153.39950561523438,14.472602844238281,18.589418411254883,1015.4403076171875,cv,3.2772998809814453,0.006703324615955353,0.031708717346191406
2014,5,20,0,33.3067626953125,8.7539644241333,19.8240909576416,1006.2919921875,cv,44.52815628051758,0.0019817762076854706,-0.03697475790977478
2014,3,14,13,23.27569580078125,-7.3287763595581055,15.29731559753418,1023.1655883789062,SE,4.940771102905273,0.011205960065126419,0.012607768177986145
2012,10,22,9,140.87493896484375,10.37356948852539,10.884530067443848,1018.694580078125,NW,3.924470901489258,0.0027671903371810913,0.13375207781791687
2013,10,24,6,58.58387756347656,-4.972936630249023,7.2859673500061035,1028.8839111328125,NW,13.55278205871582,0.012263074517250061,0.03490850329399109
2014,1,16,7,122.0094223022461,-17.51782989501953,-9.693747520446777,1030.7464599609375,cv,1.4017066955566406,0.012384485453367233,-0.03447851538658142
2014,2,22,12,353.1077880859375,-5.186734199523926,3.067612648010254,1027.382568359375,cv,5.744972229003906,0.016049493104219437,-0.048068612813949585
2012,6,13,2,42.198116302490234,14.592162132263184,18.141611099243164,1005.9259643554688,cv,0.3539772033691406,0.0008850768208503723,-0.014714062213897705
2011,2,28,0,34.53202819824219,-16.538541793823242,7.37209415435791,1029.6912841796875,SE,10.617411613464355,0.26417776942253113,0.009175896644592285
2013,11,22,15,72.45063781738281,-4.5502448081970215,15.499573707580566,1021.4794921875,SE,9.506128311157227,0.006304588168859482,0.003896743059158325
2012,12,11,4,69.04801940917969,-12.913430213928223,-9.89331340789795,1026.75390625,NW,5.195550918579102,0.02312478795647621,0.021893158555030823
2014,11,21,13,75.37154388427734,-11.902616500854492,10.32019329071045,1021.7764892578125,cv,4.910398483276367,0.010856196284294128,0.008867412805557251
2013,12,17,21,146.74456787109375,-10.5188570022583,-3.241750717163086,1016.0159912109375,cv,1.2797050476074219,0.011030253022909164,0.007434844970703125
2011,11,6,9,59.281951904296875,3.1155996322631836,11.748096466064453,1026.14501953125,cv,14.34533405303955,0.00604948028922081,0.06253474950790405
2012,5,15,13,42.06568908691406,5.667486667633057,12.5570650100708,1015.1289672851562,SE,23.62189292907715,0.001774270087480545,0.0037923306226730347
2012,9,15,8,53.31359100341797,7.035826206207275,11.435047149658203,1017.3971557617188,NW,16.92276382446289,0.0163029246032238,0.05742287635803223
2013,12,21,8,29.257347106933594,-18.864416122436523,-6.107193946838379,1034.0025634765625,NE,33.28058624267578,0.004082918167114258,-0.01380777359008789
2014,4,12,15,109.63633728027344,-1.1375423669815063,22.183250427246094,1011.7107543945312,SE,24.63437843322754,-0.0011751987040042877,-0.038015156984329224
2010,1,31,19,26.17383575439453,-19.5894775390625,-2.8968563079833984,1033.2369384765625,NW,13.619418144226074,0.010823935270309448,0.02570369839668274
2014,3,13,13,29.487709045410156,-14.414746284484863,2.7799692153930664,1021.4627685546875,SE,42.37037658691406,0.011384569108486176,-0.025176525115966797
2014,2,13,2,85.98539733886719,-6.811304092407227,-4.767096519470215,1031.5406494140625,SE,27.375137329101562,0.9084012508392334,0.004321098327636719
2014,4,5,4,47.01707077026367,4.001884937286377,9.970251083374023,1017.0413208007812,cv,3.1103591918945312,0.017545629292726517,-0.02312992513179779
2013,10,28,21,161.97161865234375,5.256606101989746,10.95479679107666,1023.34814453125,cv,2.891695022583008,-0.009070850908756256,0.011755689978599548
2014,3,25,4,292.72906494140625,3.1973047256469727,9.410430908203125,1011.7896118164062,NW,3.889331817626953,0.009761810302734375,0.050434380769729614
2013,7,5,14,19.059600830078125,13.112100601196289,34.930572509765625,998.9700317382812,NW,29.194883346557617,-0.004079535603523254,-0.04391719400882721
2012,12,2,18,198.82534790039062,-5.422749996185303,-3.069563865661621,1028.3797607421875,cv,6.852327346801758,0.13071730732917786,0.02440294623374939
2013,10,5,12,135.78106689453125,10.118475914001465,23.564346313476562,1008.8578491210938,SE,19.395751953125,-0.0094388946890831,0.0658646672964096
2010,4,3,0,69.51769256591797,-1.1830469369888306,5.5095014572143555,1016.885986328125,SE,26.73198127746582,0.00441216304898262,0.0704132616519928
2014,1,12,10,63.84754943847656,-15.275650978088379,-1.1233396530151367,1028.7552490234375,SE,11.956705093383789,0.027425114065408707,0.026219114661216736
2010,11,9,6,166.90147399902344,-7.325373649597168,0.31786155700683594,1023.0557250976562,NW,6.5166473388671875,0.020241577178239822,0.03616181015968323
2012,1,21,9,24.837738037109375,-25.642274856567383,-13.408764839172363,1034.699462890625,NW,56.235595703125,0.008784890174865723,-0.008363664150238037
2014,9,14,7,54.06139373779297,16.834579467773438,15.81983757019043,1012.1472778320312,NW,10.250195503234863,0.014396149665117264,0.07572523504495621
2013,11,1,21,153.07138061523438,7.18174934387207,6.153329372406006,1022.6622314453125,cv,1.2165374755859375,0.0032089054584503174,0.07937370240688324
2013,8,16,3,114.62918090820312,22.54034423828125,24.239131927490234,1002.5283203125,cv,7.547758102416992,0.011100724339485168,0.11617808043956757
2013,1,28,21,438.801513671875,-7.214114189147949,-6.295010566711426,1025.5186767578125,cv,1.5511207580566406,0.09145054966211319,-0.03202040493488312
2011,10,16,9,72.84380340576172,12.724421501159668,12.201562881469727,1016.04541015625,cv,6.515056610107422,0.0035700947046279907,0.030588462948799133
2014,2,24,22,290.6589050292969,-5.305546760559082,-1.3869495391845703,1024.708251953125,cv,8.882240295410156,0.03411459922790527,0.028416156768798828
2012,4,23,11,227.4058074951172,12.402000427246094,19.486862182617188,1004.9408569335938,SE,16.479705810546875,-0.016805902123451233,0.0016405582427978516
2014,7,14,4,77.88453674316406,20.96608543395996,22.240249633789062,1002.753173828125,cv,2.800617218017578,0.00032347068190574646,0.12230132520198822
2014,5,11,20,37.09333038330078,2.835942268371582,24.893415451049805,1004.8687744140625,NW,44.76997375488281,-0.011668361723423004,-0.015730082988739014
2012,3,29,8,81.00074768066406,-2.4354777336120605,5.051324844360352,1023.7003784179688,cv,2.1397953033447266,0.0010448917746543884,0.0019332170486450195
2012,6,28,7,113.72604370117188,20.037181854248047,22.820261001586914,1004.8565673828125,SE,4.977764129638672,-0.004797674715518951,2.65824556350708
2012,5,13,4,121.6346435546875,14.097253799438477,17.082504272460938,1010.8673706054688,cv,5.002311706542969,0.002346169203519821,0.9059464335441589
2013,11,16,0,183.91937255859375,2.720730781555176,4.977472305297852,1022.4500732421875,NW,1.142374038696289,0.016488876193761826,0.07629385590553284
2013,1,23,0,488.72576904296875,-6.737692832946777,-5.01448917388916,1023.4102783203125,cv,1.7503204345703125,0.02442135289311409,-0.031000375747680664
2014,3,21,15,47.85142517089844,-4.118791580200195,4.299015045166016,1027.3885498046875,SE,2.7632579803466797,0.011218693107366562,0.02297930419445038
2012,9,20,12,85.78889465332031,16.21451759338379,25.508441925048828,1013.020751953125,SE,-0.22017860412597656,-0.008286610245704651,-0.0041822344064712524
2014,9,25,9,122.26579284667969,15.88341236114502,18.837488174438477,1015.763427734375,cv,4.16224479675293,-0.0007951818406581879,0.0811271071434021
2014,8,17,4,68.84110260009766,15.88985824584961,20.118785858154297,1006.005859375,cv,4.525087356567383,0.003156576305627823,0.24481019377708435
2011,8,25,9,112.80265045166016,20.15294075012207,23.817806243896484,1012.371337890625,cv,0.5585536956787109,0.010419722646474838,0.08680156618356705
2011,4,26,9,142.31655883789062,9.647966384887695,19.021198272705078,1008.7096557617188,SE,11.447137832641602,-0.019664354622364044,-0.02548070251941681
2012,10,17,2,70.91106414794922,4.821951866149902,9.213995933532715,1021.7090454101562,cv,1.7005977630615234,0.00890779122710228,0.013216271996498108
2010,5,16,17,43.444908142089844,-1.5760124921798706,26.354433059692383,1009.0411987304688,NW,61.810577392578125,-0.002154931426048279,-0.000386849045753479
2014,9,24,0,114.55482482910156,16.50860023498535,18.26633071899414,1015.1832275390625,cv,0.35310935974121094,-0.004370607435703278,0.11521739512681961
