year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
?,?,6,4,,,,,?,,,-0.00475388765335083
?,11,?,9,,,,,NW,17.261369705200195,,
?,?,?,?,,,,,NW,,,
?,?,?,?,,,,,?,,,
2011,?,?,?,,-4.52214241027832,,1023.52001953125,?,,,0.02209000289440155
?,11,22,?,,,6.816571235656738,,?,54.68825149536133,,
?,?,?,?,,,,,?,,,
?,?,?,?,96.66517639160156,,,,SE,,,
2012,?,?,?,,,,,?,,,
2011,?,?,9,,0.14874184131622314,,,?,63.781341552734375,,0.05787254869937897
?,?,?,?,,,,,NW,,,
?,?,?,?,,,,,?,,,0.10634312033653259
?,?,28,?,,,-1.5458707809448242,,SE,,,
?,6,?,21,,,,,?,,,
?,?,?,?,,7.731828212738037,,,?,,,
?,?,30,?,,-19.34601402282715,,,?,,0.01055482029914856,
?,9,?,?,150.32058715820312,,,,?,5.874650955200195,,0.12119295448064804
?,?,?,18,,,16.42177963256836,,NW,,-0.006292417645454407,
?,?,?,?,,-20.09646987915039,-1.4982976913452148,1031.7379150390625,?,,,0.000825926661491394
?,?,?,?,,,20.695110321044922,,SE,,,
2012,?,?,?,,,,,NW,,,
?,?,?,?,,14.40401840209961,,,?,,,
?,?,?,4,,13.769564628601074,,,cv,,,
?,?,?,?,,,,,?,,,
?,3,?,22,,,,,cv,,,
?,?,22,?,,,,,?,,0.003409799188375473,
?,?,?,4,,,1.673670768737793,,?,,,0.0981401577591896
?,?,4,?,,,,1031.2457275390625,?,60.34838104248047,0.01700586825609207,
?,?,?,?,79.11521911621094,,,,?,35.10934829711914,,
?,?,?,15,,,18.62891387939453,,?,,,
?,?,?,?,133.44259643554688,-7.93631649017334,,1026.4093017578125,?,3.819723129272461,,
?,?,?,?,52.02622604370117,,,,NW,22.22786521911621,,0.005857974290847778
?,?,?,?,,,,,?,,,0.0060034096240997314
?,10,?,?,,,15.493158340454102,1016.2725219726562,?,,,
2013,?,?,?,,,,,?,,,
?,?,?,10,,,,,cv,,,
?,?,?,?,,,,,?,10.663533210754395,,
?,?,?,?,,22.683809280395508,,,?,,,
?,?,12,?,,-3.890892505645752,18.288047790527344,,?,,0.01017175242304802,0.019627884030342102
?,?,?,19,,-5.171422481536865,2.9752025604248047,,?,,,
?,?,?,?,,,,,?,,,
?,?,?,?,,,,,NW,,,
2013,?,30,?,,,,,?,,,
?,?,?,22,,,6.5344953536987305,1020.2938842773438,?,,,
?,?,?,?,,,-4.111590385437012,1021.4569702148438,?,,0.011890280991792679,
?,?,?,?,,16.859493255615234,,,?,,,
?,?,?,?,,,,,?,,0.007245827466249466,0.03469066321849823
2010,1,?,9,,-24.603153228759766,,,?,,,
?,?,?,?,,,10.040103912353516,,?,,,0.08567314594984055
2014,?,?,?,,,,,?,,,
2014,?,?,?,,,-2.220065116882324,,NW,39.9173583984375,,
2013,?,?,?,,,-2.6907777786254883,,?,,-0.04216571897268295,
?,7,?,?,,,,,NW,4.241846084594727,,
?,?,?,?,49.06330108642578,,,,?,,,-0.007122397422790527
?,?,?,?,,-1.3149009943008423,,,SE,13.04971694946289,,
?,4,?,?,76.82305908203125,,,,?,,,
?,5,16,20,,,,,?,,,
2014,12,?,?,,,-3.177427291870117,,?,,,
?,?,?,?,,-18.097742080688477,,,?,116.56102752685547,,0.05184561014175415
?,?,?,?,,,,,?,,,-0.00023584067821502686
2013,?,?,?,146.59970092773438,,,1023.4574584960938,?,,,
?,?,?,?,,,6.440785884857178,,?,,,0.013838112354278564
2011,?,?,7,,,,,?,,0.005445059388875961,
?,?,?,?,,-22.083236694335938,,,?,,0.011104729026556015,
?,7,?,?,,,,,?,2.1377296447753906,-0.0008328668773174286,-0.002472996711730957
?,2,?,?,,,,,?,,,
2014,?,?,?,,,,,?,,0.011337224394083023,
?,7,?,?,,,20.843353271484375,,?,1.0392379760742188,,
?,?,?,?,,,,,?,,0.008441150188446045,0.11548366397619247
?,?,?,?,,7.5584917068481445,18.85236930847168,,SE,,0.009893771260976791,
?,?,?,?,266.5560302734375,,,,?,,0.007822003215551376,
?,?,?,22,,,,,?,,,0.010864406824111938
?,?,?,?,,,,,?,8.288196563720703,,
?,?,?,?,,,,,?,,,
?,?,?,4,,,,,cv,,,
?,?,?,?,,,,1005.0009155273438,?,,,
?,?,?,?,,,,1030.5120849609375,?,28.241607666015625,,
2010,?,?,?,,,,,?,,,0.07550834864377975
2013,?,?,?,,,22.17035675048828,1011.3037109375,?,,,
