dataset,column,type,rmse,rmse_mean_std,mae,mae_mean_std,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std
default,LIMIT_BAL,num,0.7555434835956399,0.755760±0.014366,0.5449712810319314,0.544074±0.008812,,,,,,,,
default,SEX,cat,,,,,0.6096666666666667,0.610688±0.008318,0.3897226373640882,0.390258±0.005039,0.5743753556463711,0.571638±0.048807,0.502683532183488,0.502721±0.001877
default,EDUCATION,cat,,,,,0.5236666666666666,0.523704±0.009092,0.18950510530430456,0.189435±0.003240,0.17422033978514975,0.174488±0.003296,0.2096526264826918,0.209319±0.003453
default,MARRIAGE,cat,,,,,0.708,0.708144±0.008615,0.353449168255914,0.354913±0.012490,0.35256152554613074,0.352871±0.007822,0.35488798837061253,0.356060±0.012772
default,AGE,num,0.8699003236310918,0.868752±0.012932,0.6769307723427266,0.677225±0.010314,,,,,,,,
default,PAY_0,cat,,,,,0.7956666666666666,0.795860±0.007471,0.395303958826902,0.431348±0.040008,0.49355262831687585,0.516470±0.059721,0.3848239936177085,0.423984±0.041249
default,PAY_2,cat,,,,,0.8956666666666667,0.895838±0.005442,0.5182384174721256,0.533327±0.050880,0.4966296486220304,0.518201±0.048000,0.5577295110616307,0.549542±0.055117
default,PAY_3,cat,,,,,0.8386666666666667,0.839182±0.006692,0.47848769705888394,0.485072±0.047336,0.5390372627714932,0.535104±0.055737,0.4527338000389887,0.467104±0.053409
default,PAY_4,cat,,,,,0.8563333333333333,0.856733±0.006643,0.6648958383060266,0.660292±0.037257,0.6919459416096805,0.686847±0.040014,0.658237898785941,0.659822±0.039392
default,PAY_5,cat,,,,,0.8603333333333333,0.861074±0.006144,0.5127663878273165,0.559581±0.053195,0.5153265028824219,0.565962±0.053781,0.5295787959706717,0.583818±0.056925
default,PAY_6,cat,,,,,0.8123333333333334,0.812680±0.007591,0.4411662657806619,0.472321±0.055650,0.44754414404324233,0.478596±0.065658,0.46619527246840975,0.485546±0.058624
default,BILL_AMT1,num,0.37530304569901113,0.374466±0.019653,0.1921235312201152,0.191955±0.005999,,,,,,,,
default,BILL_AMT2,num,0.3045697414569743,0.303446±0.013831,0.16174797683706796,0.161818±0.004648,,,,,,,,
default,BILL_AMT3,num,0.3144597636673449,0.313389±0.014050,0.16798094194726967,0.167737±0.005017,,,,,,,,
default,BILL_AMT4,num,0.301888697979571,0.301893±0.016971,0.16619138121791563,0.166225±0.004647,,,,,,,,
default,BILL_AMT5,num,0.2897398990712591,0.289903±0.018948,0.14400961319899022,0.144143±0.004864,,,,,,,,
default,BILL_AMT6,num,0.3914512717715263,0.391294±0.025717,0.19162259912055463,0.191721±0.006247,,,,,,,,
default,PAY_AMT1,num,0.8940739026287019,0.886221±0.084512,0.3047941161880961,0.306071±0.014770,,,,,,,,
default,PAY_AMT2,num,0.725556721597202,0.724126±0.047596,0.24622759577954786,0.246087±0.013197,,,,,,,,
default,PAY_AMT3,num,0.7436217814294379,0.738700±0.099786,0.21445299392037656,0.213931±0.013590,,,,,,,,
default,PAY_AMT4,num,0.6096377550599523,0.599126±0.067169,0.20025949288456127,0.199297±0.010879,,,,,,,,
default,PAY_AMT5,num,0.8532604637024974,0.849227±0.112375,0.25768165265192006,0.257650±0.014654,,,,,,,,
default,PAY_AMT6,num,1.1192167080763207,1.112210±0.120972,0.35378376519896215,0.353245±0.019948,,,,,,,,
default,default payment next month,cat,,,,,0.7996666666666666,0.799088±0.007031,0.6512674388040117,0.651367±0.010877,0.7088982226258433,0.709657±0.012785,0.6324481351266072,0.631934±0.009478
