dataset,column,type,rmse,rmse_mean_std,mae,mae_mean_std,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std
default,LIMIT_BAL,num,0.7077417221117802,0.707263±0.030297,0.5170120187690945,0.516296±0.021206,,,,,,,,
default,SEX,cat,,,,,0.6140035906642729,0.612723±0.020802,0.49772465135786936,0.497209±0.021197,0.5774273980639484,0.576577±0.032382,0.5356583177974116,0.535202±0.016240
default,EDUCATION,cat,,,,,0.5737439222042139,0.572037±0.019681,0.2811242119586853,0.308022±0.038151,0.3193059904522355,0.349101±0.046514,0.2876493094438223,0.314676±0.037021
default,MARRIAGE,cat,,,,,0.6612903225806451,0.661135±0.020823,0.443221494363715,0.442126±0.013129,0.43826670311693156,0.438024±0.013109,0.4483599351043677,0.448088±0.012931
default,AGE,num,0.8887646097106274,0.888742±0.028354,0.6952737063816727,0.695928±0.021782,,,,,,,,
default,PAY_0,cat,,,,,0.8137931034482758,0.812207±0.016091,0.5436418356377786,0.552126±0.062837,0.5551943672524766,0.558072±0.064890,0.5376549857479649,0.547478±0.060686
default,PAY_2,cat,,,,,0.9495652173913044,0.951009±0.008557,0.7556374954905071,0.764016±0.044159,0.7625412485877602,0.770964±0.042175,0.7493844018476545,0.758448±0.043295
default,PAY_3,cat,,,,,0.9012738853503185,0.901300±0.011968,0.7805739975024397,0.773015±0.042589,0.9070940868696618,0.877952±0.070683,0.7470828730443683,0.750284±0.038343
default,PAY_4,cat,,,,,0.9266770670826833,0.927322±0.010642,0.8758410342975405,0.858159±0.059177,0.9524814001687633,0.903369±0.071859,0.848860422362525,0.840189±0.054641
default,PAY_5,cat,,,,,0.89198606271777,0.890256±0.013713,0.6327300533902596,0.652237±0.063438,0.6335453580722434,0.650834±0.065166,0.6327936138994604,0.648997±0.062379
default,PAY_6,cat,,,,,0.8571428571428571,0.856462±0.013529,0.4816022828527572,0.558410±0.107192,0.536555390702275,0.634660±0.128068,0.4604899731671454,0.553724±0.101962
default,BILL_AMT1,num,0.3104325298113947,0.310807±0.032425,0.15212607039186624,0.151835±0.011783,,,,,,,,
default,BILL_AMT2,num,0.28376410637168625,0.281652±0.039008,0.11342343527232267,0.114580±0.010495,,,,,,,,
default,BILL_AMT3,num,0.1815705130240183,0.180416±0.015894,0.09366175373476912,0.093769±0.006377,,,,,,,,
default,BILL_AMT4,num,0.20652804156334856,0.205985±0.014425,0.10854663484380324,0.108653±0.006484,,,,,,,,
default,BILL_AMT5,num,0.2336992251255288,0.234573±0.033134,0.10108698884270485,0.101300±0.008641,,,,,,,,
default,BILL_AMT6,num,0.30495933606679454,0.300140±0.054037,0.1259767599548539,0.126063±0.011727,,,,,,,,
default,PAY_AMT1,num,0.818331525291729,0.748608±0.286633,0.18680987999900517,0.185682±0.034048,,,,,,,,
default,PAY_AMT2,num,0.38121013646297475,0.369106±0.097122,0.12044000538912374,0.120342±0.014721,,,,,,,,
default,PAY_AMT3,num,0.36347002682542867,0.360599±0.065370,0.14281857264632491,0.143531±0.013565,,,,,,,,
default,PAY_AMT4,num,0.49016436594549045,0.486920±0.107778,0.17029776759988982,0.171443±0.018777,,,,,,,,
default,PAY_AMT5,num,0.9252772232784586,0.891216±0.248604,0.21436772751756974,0.212953±0.036110,,,,,,,,
default,PAY_AMT6,num,0.7428058597063741,0.723607±0.139171,0.24980706056284457,0.248726±0.027360,,,,,,,,
default,default payment next month,cat,,,,,0.8170144462279294,0.816554±0.014493,0.6460227272727272,0.644352±0.025132,0.7143507030603805,0.712488±0.031007,0.6248915662650603,0.623277±0.020354
