LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
187588.796875,2,2,2,38.84232711791992,0,0,0,-1,-1,-1,35811.046875,21764.8125,12358.85546875,5705.70703125,4407.71484375,10070.3046875,6246.09521484375,3960.202392578125,2273.809326171875,1939.37451171875,3814.91943359375,7975.37255859375,0
188693.53125,2,1,2,40.231048583984375,-1,-1,-1,-1,-1,-1,1257.33203125,2489.48828125,7034.33203125,8083.55859375,3661.80859375,6736.09765625,2881.798095703125,3782.85693359375,3443.52685546875,2254.962646484375,2553.29345703125,3317.5595703125,0
354390.5,2,1,1,33.834678649902344,-1,0,0,0,0,0,186032.78125,132610.359375,231559.296875,227738.71875,137504.265625,155713.875,117479.796875,139742.25,10957.462890625,10732.044921875,10886.125,26315.02734375,0
219527.078125,2,1,1,33.702083587646484,1,-2,-2,-1,-2,-1,3107.87109375,3551.07421875,6008.8671875,8901.66015625,4429.21484375,7408.44921875,80.85009765625,3687.966064453125,4030.857421875,2320.8671875,3013.20703125,3757.41259765625,0
222462.21875,2,1,1,37.12942123413086,-2,-2,-2,-2,-2,-2,584.84765625,451.71875,597.20703125,6012.39453125,985.015625,3198.3359375,350.2978515625,835.6044921875,856.37451171875,412.12158203125,504.1962890625,1612.49072265625,0
59175.40625,2,2,1,43.26006317138672,0,2,0,2,0,0,45107.12890625,44245.078125,40015.01171875,40196.7109375,30058.85546875,27447.880859375,3193.221435546875,2206.620361328125,1221.69287109375,691.48193359375,1365.318115234375,1885.947509765625,1
302909.03125,2,1,1,40.62517166137695,-2,-2,-2,-2,-2,-2,9371.0703125,8606.76171875,12623.5390625,16709.6328125,8733.015625,10238.162109375,22411.513671875,9489.9521484375,1993.50244140625,3171.03466796875,3066.46630859375,9314.5,0
401880.40625,2,1,2,35.78264236450195,-2,-1,-1,0,0,-1,30901.7734375,89050.640625,266215.75,271242.625,109459.734375,162863.8125,71110.3046875,323758.09375,16475.7265625,13430.177734375,11844.4453125,53674.953125,0
155004.125,2,1,2,39.291786193847656,-1,-1,-1,-1,0,-1,2389.23828125,3312.34375,5999.11328125,5576.99609375,1875.52734375,5806.97265625,1455.62890625,2803.113037109375,2875.925537109375,1917.399169921875,2830.181396484375,2909.419921875,0
215867.015625,2,1,2,34.49764633178711,0,0,0,0,-2,-2,148003.328125,164897.546875,134019.21875,32190.166015625,6831.875,21215.177734375,10480.927734375,7653.841796875,2690.000244140625,1951.765380859375,2435.806640625,16822.173828125,0
87327.09375,2,2,1,38.49678039550781,0,0,0,0,0,0,25406.7734375,22032.19921875,21374.240234375,19592.033203125,13072.271484375,14373.537109375,3492.79052734375,3841.009765625,3176.145263671875,2240.95654296875,2798.833984375,3360.083251953125,0
314042.375,2,1,2,34.74407196044922,0,0,0,0,0,0,256764.109375,254100.0,232688.78125,226796.421875,212004.453125,225564.09375,13615.5693359375,14031.283203125,9242.5908203125,9730.2626953125,9841.126953125,12735.4482421875,0
91733.8125,2,2,2,40.49690246582031,0,0,0,0,0,0,49076.04296875,43257.5546875,35376.421875,35486.05859375,26993.48046875,25834.59765625,2897.50244140625,2368.93603515625,2259.41943359375,1488.621337890625,2671.651611328125,2989.014892578125,0
141443.6875,2,2,2,38.00737380981445,0,0,0,0,0,0,82466.3125,100991.34375,62268.7265625,27213.748046875,18740.021484375,22206.69140625,6379.44287109375,3990.98974609375,2529.4462890625,1801.21875,3194.008544921875,8699.830078125,0
203061.21875,2,2,2,37.51918411254883,0,0,0,0,0,0,86830.609375,79943.5,73813.8984375,72189.3828125,68530.59375,72217.453125,8364.9013671875,8120.14404296875,5399.89794921875,4338.5244140625,5040.28564453125,6324.333984375,0
148697.90625,2,2,1,37.45321273803711,0,0,0,0,0,0,63264.00390625,61710.69140625,53126.37109375,48732.125,41308.16796875,39996.62890625,3940.76171875,3278.4541015625,3158.40771484375,2661.85302734375,3348.447265625,3713.019775390625,0
262254.875,2,2,1,40.711570739746094,2,2,0,0,0,0,247869.265625,233459.640625,224934.125,213306.390625,201493.078125,195630.078125,8525.47265625,9077.6875,5926.39453125,8700.720703125,10015.263671875,12023.193359375,1
229953.25,2,2,1,42.79067611694336,0,0,0,0,0,0,165940.171875,146730.25,149584.109375,125785.546875,123647.328125,123988.828125,9109.111328125,9222.78515625,4720.90234375,5034.6826171875,5029.08203125,7764.2802734375,0
231484.109375,2,1,1,40.820648193359375,1,-2,-2,-1,-2,-1,1407.6640625,4840.046875,5613.51953125,8532.8984375,4788.625,6975.673828125,-1083.7861328125,2670.531494140625,3100.264892578125,2086.720458984375,2625.615966796875,3389.6201171875,0
65606.9140625,2,2,2,39.8734245300293,0,0,0,0,0,0,23373.70703125,22917.400390625,22147.673828125,21681.833984375,16731.83203125,16932.88671875,2376.56884765625,1974.01806640625,2238.14794921875,1188.8388671875,2037.07373046875,2272.51123046875,0
166659.3125,2,1,1,37.551307678222656,0,0,-1,-2,-2,-2,8945.4609375,20796.615234375,4213.31640625,3347.9453125,1710.11328125,8593.017578125,5450.61962890625,2433.38916015625,763.517578125,626.68505859375,1625.1494140625,5402.70751953125,0
248682.3125,2,1,1,42.808021545410156,-2,-2,-2,-2,-2,-2,-1936.83203125,-586.796875,822.2578125,5889.140625,923.5234375,3010.55859375,76.14306640625,1069.32763671875,779.8505859375,594.005859375,599.81787109375,2066.074462890625,0
151668.046875,2,2,2,38.784664154052734,0,0,0,0,0,0,78657.2109375,77529.203125,68193.6875,65255.34375,63337.03125,60223.1171875,5069.36376953125,4144.896484375,3791.84375,3049.92041015625,3977.76953125,4054.63134765625,0
228707.125,2,1,1,41.83348846435547,-2,-2,-2,-2,-2,-2,-654.953125,507.5,1959.17578125,6390.75,2183.37109375,4065.1328125,-19.4736328125,1198.48681640625,1124.46923828125,814.245361328125,1057.385009765625,2204.874755859375,0
266936.4375,2,1,1,42.14146423339844,-2,-2,-2,-2,-2,-2,2291.6875,8604.5,8479.265625,14476.97265625,5678.7734375,7499.9765625,4290.072265625,3535.71142578125,2118.45068359375,2121.024658203125,2046.481201171875,3691.055908203125,0
239614.484375,2,1,2,37.361873626708984,-1,-1,-1,-1,-1,-1,7846.02734375,8905.53125,13355.88671875,11982.642578125,7920.767578125,11051.064453125,10921.658203125,8034.740234375,4190.23779296875,3851.961669921875,4678.240234375,8831.13671875,0
330519.4375,2,1,2,35.45712661743164,0,0,0,0,0,0,283895.78125,282494.375,262284.78125,255632.859375,237444.6875,251268.015625,13986.849609375,15789.625,11215.111328125,11196.193359375,10127.8359375,14125.255859375,0
126476.625,2,1,2,26.941715240478516,-1,-1,-1,0,0,0,-694.53125,1622.27734375,10319.15625,10056.7265625,4102.359375,8017.02734375,1870.51904296875,3704.39892578125,3423.2099609375,2171.582763671875,2464.10595703125,3447.405029296875,0
55035.8984375,2,2,1,34.271732330322266,1,2,0,0,0,0,18521.203125,15073.4921875,21100.61328125,13278.85546875,5513.55078125,9425.93359375,469.552734375,2324.7041015625,1262.007568359375,464.85693359375,2499.462646484375,2221.89599609375,0
236709.15625,2,2,2,39.25398254394531,0,0,0,0,0,0,169817.4375,156914.71875,144910.765625,132520.359375,142181.828125,144499.890625,9259.6669921875,8747.19140625,5038.56103515625,5792.6982421875,6650.3193359375,7853.2626953125,0
354788.25,2,2,1,44.78998565673828,0,0,0,0,0,0,305734.8125,293620.09375,274329.875,250617.859375,229408.875,242298.6875,14629.21875,15319.8623046875,9435.837890625,9708.029296875,8891.021484375,15087.125,0
134912.484375,2,1,2,30.799209594726562,-2,-2,-2,-2,-2,-2,-2026.95703125,-2777.72265625,-1406.48046875,1384.97265625,-2269.10546875,3487.49609375,-148.14453125,133.53271484375,504.29150390625,-588.419921875,468.44140625,1844.38232421875,0
206237.8125,2,2,2,32.08455276489258,0,0,0,0,0,0,131621.078125,131688.8125,120362.359375,125052.609375,122909.46875,132155.15625,7978.60205078125,8039.2001953125,5708.677734375,5980.7998046875,6684.04052734375,5864.689453125,0
206653.671875,2,1,2,40.11520767211914,-2,-2,-2,-2,-2,-2,-2920.953125,-1280.578125,117.7578125,3600.171875,145.15234375,3097.828125,-465.935546875,342.798828125,627.287109375,39.1083984375,739.88525390625,2199.239013671875,0
166300.078125,2,1,2,30.798734664916992,-2,-2,-2,-2,-2,-2,-4353.8515625,-3220.25390625,-2219.90234375,1636.63671875,-2393.359375,1682.7109375,219.3115234375,103.904296875,-21.26611328125,-290.41796875,334.80126953125,2557.174560546875,0
39660.8203125,2,2,2,29.402149200439453,0,0,0,0,0,0,10900.86328125,10947.49609375,10569.96875,12228.703125,6341.83203125,9580.939453125,2221.212890625,2018.722412109375,2155.13330078125,930.30517578125,1932.8173828125,2613.377685546875,0
186591.09375,2,2,2,32.22670364379883,0,0,0,0,2,2,145739.1875,144207.0625,146820.109375,158103.609375,172425.046875,174665.078125,9269.7978515625,11594.48828125,6281.91357421875,5878.677734375,3482.75048828125,7436.59423828125,1
328882.0625,2,1,1,42.224876403808594,-1,-1,-1,-1,-1,-1,23198.89453125,21858.22265625,32795.828125,28768.68359375,13848.1015625,18782.384765625,33075.71875,39275.44921875,5747.32568359375,5367.65087890625,8092.21484375,15001.560546875,0
191404.21875,2,1,2,31.58745002746582,-2,-2,-2,-2,-2,-2,-6186.078125,-2981.96875,-1975.47265625,2411.453125,-1658.0078125,1324.6484375,274.50830078125,284.42138671875,-194.85546875,-86.8359375,286.0732421875,2858.107666015625,0
159814.03125,2,1,2,38.84745788574219,-1,-1,-1,-1,-1,-1,-452.25,2016.6875,4996.25390625,4361.11328125,-2230.78515625,3321.1328125,1197.9052734375,2639.9306640625,2377.338623046875,1212.272216796875,2614.437255859375,2834.7421875,0
212948.171875,2,1,1,39.56721115112305,-1,-1,-1,-2,-2,-2,17684.42578125,11545.45703125,6033.67578125,4356.125,2577.12890625,7384.462890625,5011.140625,2626.173828125,1098.19091796875,947.88525390625,2038.141845703125,4662.94775390625,0
245116.84375,2,1,2,40.29054260253906,-1,-1,-1,-1,-1,-1,8335.8125,10418.97265625,14437.97265625,13116.013671875,7178.8359375,9115.9375,12123.0068359375,8236.228515625,3694.6171875,3180.885498046875,4269.63916015625,8073.74853515625,0
126495.7734375,2,2,2,28.146106719970703,0,0,0,0,0,0,13992.328125,14640.2734375,14495.912109375,11969.61328125,4426.86328125,10249.353515625,4255.58056640625,3745.866455078125,3134.658203125,2104.706787109375,3246.54150390625,3724.95166015625,0
234248.25,2,1,1,37.898963928222656,1,-2,-2,-1,-2,-1,481.0234375,2649.01171875,5071.5,6694.58203125,3683.75390625,6803.85546875,-857.22412109375,2926.191650390625,3337.43408203125,2367.98193359375,2676.21875,2886.0830078125,0
148494.34375,2,2,1,39.20712661743164,2,2,0,0,0,0,127741.234375,116824.9921875,106473.7421875,99021.890625,96114.390625,88732.796875,3741.02490234375,4014.63232421875,3479.25634765625,4480.30322265625,5543.412109375,6578.451171875,1
226447.875,2,2,1,38.56643295288086,0,0,0,0,0,0,158197.0,144335.46875,131999.4375,125374.40625,126561.9375,126547.53125,8698.8037109375,7906.91064453125,4761.9697265625,5261.1708984375,6166.43408203125,7242.0048828125,0
247170.0,2,1,2,41.42374038696289,-2,-2,-2,-2,-2,-2,-2117.7265625,958.8359375,2945.23046875,6742.9609375,1884.00390625,3553.64453125,1263.73095703125,1674.599609375,785.63720703125,1060.2587890625,857.159423828125,2730.4111328125,0
147707.71875,2,1,2,30.081512451171875,1,-2,-2,-1,0,-1,438.0625,-1740.36328125,3967.23046875,9405.57421875,5049.05859375,14558.6875,-46.734375,2344.683349609375,4351.890625,2224.696044921875,2885.22021484375,3774.34521484375,0
232014.78125,2,1,1,31.53814697265625,-2,-2,-2,-2,-2,-2,-2203.5234375,668.18359375,1860.44921875,5217.75390625,1322.68359375,3568.8125,1451.9716796875,1696.40771484375,700.51904296875,824.64208984375,1130.60693359375,3245.070556640625,0
39610.3515625,2,2,2,28.49525260925293,0,0,0,0,0,0,12882.72265625,11829.234375,13139.6875,14878.8515625,11194.45703125,12150.6875,1872.519775390625,1629.7529296875,1974.375732421875,812.576171875,1526.426513671875,2075.963623046875,0
130652.4296875,2,2,1,40.997344970703125,0,0,0,-2,-2,-2,43065.67578125,23235.85546875,5456.046875,-835.92578125,-1322.15625,2228.7265625,3655.10693359375,1158.07861328125,-429.28564453125,-885.2783203125,-790.84375,3604.846435546875,0
233302.9375,2,2,2,32.19210433959961,0,0,0,0,0,0,191465.0625,177914.921875,178265.78125,175145.140625,180510.40625,181775.53125,10101.34765625,12220.4833984375,7543.9423828125,7680.490234375,6365.552734375,9955.291015625,1
72073.9453125,2,2,1,40.22453308105469,0,0,0,0,0,0,38065.87890625,28025.162109375,32750.56640625,27959.84765625,18931.359375,18623.52734375,2599.6181640625,1993.78173828125,1669.946044921875,952.153564453125,2251.537353515625,2693.47265625,0
153330.890625,2,2,1,32.67970657348633,0,0,0,0,0,0,76496.6328125,73660.125,63003.609375,62326.8828125,64875.71484375,60444.0703125,5051.04296875,4094.39892578125,3711.04150390625,2971.502685546875,3756.12890625,3946.02197265625,0
116002.5625,2,2,2,31.183826446533203,0,0,0,0,0,0,47146.66796875,44054.80078125,38905.24609375,39240.8828125,33939.0078125,31529.54296875,3256.40283203125,2919.86767578125,3424.869140625,2274.412109375,2955.59765625,3159.823974609375,0
220775.671875,2,1,2,33.23529052734375,-2,-2,-2,-2,-2,-2,-499.57421875,2693.91796875,3567.8828125,6461.9921875,2424.05859375,4648.37109375,3487.198486328125,2476.628173828125,958.689453125,1437.3642578125,1855.09716796875,4788.283203125,0
261196.796875,2,1,2,40.09534454345703,-2,-2,-2,-2,-2,-2,5764.7109375,8575.82421875,10293.140625,10544.501953125,8225.83984375,9771.365234375,2622.211669921875,4160.525390625,2999.01806640625,3019.903564453125,3194.2802734375,5444.74365234375,0
149362.515625,2,2,2,33.50812530517578,2,2,2,2,2,2,120341.234375,125595.125,129038.984375,150327.890625,164632.75,163999.46875,4574.4345703125,5654.0595703125,2586.888427734375,4892.39208984375,2441.35693359375,7036.50634765625,1
139226.34375,2,1,2,28.296710968017578,-1,-1,-1,-1,-1,-1,-3636.5625,-1864.96875,2295.5625,2381.75390625,-2450.1875,3294.5,1574.8359375,1995.20068359375,2141.181640625,1145.400634765625,2134.657470703125,3268.030029296875,0
184507.28125,2,2,1,40.04331970214844,0,0,0,0,0,0,102464.765625,92593.171875,80149.96875,75469.171875,73815.828125,74365.8125,5841.400390625,4623.9462890625,3693.88818359375,3190.88720703125,4368.06787109375,4795.64697265625,0
181388.21875,2,1,2,31.19428062438965,0,0,0,0,0,0,89128.5703125,83784.4140625,77337.1875,80177.9453125,76448.453125,82561.203125,8041.166015625,5945.20947265625,5646.1337890625,4596.00048828125,5361.3642578125,5396.32666015625,0
63695.4609375,2,2,1,41.48737335205078,0,0,0,0,0,0,26135.09765625,22706.109375,20372.443359375,18287.876953125,12495.4375,14072.400390625,2664.470703125,2834.747802734375,2146.067626953125,1472.828369140625,2389.9755859375,2733.2568359375,0
42713.84375,2,2,2,29.421876907348633,1,2,0,0,0,0,20398.16015625,19487.0234375,24683.466796875,17653.837890625,12939.3125,14767.37109375,2143.478271484375,3026.78955078125,2730.667724609375,1766.0283203125,3089.71728515625,2983.19873046875,0
341157.5625,2,1,1,41.440338134765625,-1,-1,-1,0,-1,-1,37778.625,49617.28125,79063.734375,45703.625,28650.646484375,30843.189453125,80498.59375,102351.8828125,14902.83984375,9724.708984375,18104.12109375,38089.0703125,0
144915.65625,2,2,2,29.467761993408203,0,0,0,0,0,0,59196.625,58572.6796875,50796.7109375,52469.99609375,45885.0390625,48096.828125,4329.4921875,3645.392578125,4092.39306640625,2981.79833984375,3683.41357421875,3972.345703125,0
105442.109375,2,2,2,30.0197696685791,0,0,0,0,0,0,19639.4609375,17395.8046875,18200.986328125,18669.58984375,13817.91796875,15360.7578125,3258.66259765625,3511.23388671875,3526.4638671875,2270.474853515625,2878.33740234375,3430.060546875,0
158470.609375,2,2,2,30.522233963012695,0,0,0,0,0,0,83860.75,85433.859375,77678.75,84353.046875,81037.125,88851.3125,5534.857421875,5788.923828125,5159.537109375,4493.39990234375,4517.09521484375,4381.93115234375,0
208706.34375,2,2,1,41.29226303100586,2,2,0,0,0,0,192183.453125,175946.484375,160787.921875,155961.65625,148509.953125,153771.78125,5215.671875,6445.9619140625,4402.8828125,7120.67333984375,8926.826171875,9688.1533203125,1
195731.359375,2,2,1,34.19657897949219,0,0,0,0,-1,-1,64710.8828125,110257.40625,66416.96875,30878.94140625,14972.5234375,27380.830078125,12475.3427734375,15347.91796875,4507.95947265625,3487.038330078125,8588.5869140625,13299.140625,0
151415.234375,2,2,1,35.08280944824219,2,2,2,2,2,2,104098.8125,107610.0078125,107139.5546875,114306.53125,125861.140625,116469.359375,4089.01611328125,4317.85302734375,2957.8564453125,4304.13818359375,2663.30224609375,5522.203125,1
31215.5625,2,2,2,29.669174194335938,1,2,0,0,0,0,26793.412109375,22346.525390625,25981.68359375,18246.484375,16636.32421875,17071.89453125,396.591796875,2026.72265625,1870.85498046875,1202.614013671875,2792.19287109375,2660.8837890625,0
164524.875,2,2,1,34.805816650390625,-1,-2,-1,-1,0,-1,5560.12109375,6237.34765625,9349.6328125,9301.8515625,4992.34765625,6125.314453125,2619.435302734375,4104.5615234375,3801.1591796875,2259.89892578125,2677.561767578125,3292.06689453125,0
284279.46875,2,1,1,42.57076644897461,-1,-1,-1,-1,-1,-1,15410.69921875,16858.494140625,19486.337890625,20194.251953125,11600.970703125,11738.212890625,21783.22265625,16731.55078125,4488.5302734375,4391.03271484375,5214.28466796875,10307.55078125,0
313698.25,2,1,2,37.37129592895508,-1,-1,0,0,0,0,41110.20703125,73761.421875,149744.40625,156738.90625,81584.8828125,103313.15625,63442.12109375,67655.5546875,34677.76171875,17002.951171875,11843.185546875,27129.951171875,0
334717.0625,2,1,1,37.4389533996582,-1,-1,-1,0,-1,-1,29952.802734375,51116.19921875,67662.546875,58099.9609375,33598.12109375,38866.90234375,46474.5078125,169558.15625,38606.90234375,12429.91796875,13773.974609375,48966.65625,0
117568.734375,2,2,1,40.50502395629883,0,0,0,0,0,0,65516.14453125,62072.2734375,52732.8984375,48913.35546875,39126.79296875,37726.45703125,3804.949462890625,2795.76708984375,2430.95361328125,1871.543212890625,3046.9970703125,3257.091552734375,0
76227.4140625,2,2,2,31.784574508666992,1,2,0,0,0,-2,40887.5546875,27996.71484375,19052.294921875,29814.8828125,12278.15625,14557.814453125,4194.9765625,4762.064453125,4049.075927734375,2755.90478515625,4063.61181640625,4324.83349609375,1
245234.4375,2,2,2,32.11439514160156,0,0,0,0,0,0,177386.265625,174209.4375,163496.890625,165019.6875,169304.234375,176486.609375,10162.6171875,10383.40234375,6169.71435546875,7499.76123046875,7539.50537109375,8149.927734375,0
167550.953125,2,2,1,42.609474182128906,0,0,0,0,0,0,90620.2421875,83864.984375,74714.4453125,72739.171875,71121.1328125,70584.875,5772.28662109375,4671.78125,4041.26123046875,3478.8447265625,4125.45068359375,4357.99951171875,0
158627.359375,2,1,2,30.07154083251953,-1,-1,-1,-1,0,-1,8412.453125,8515.12109375,12005.20703125,11924.15625,6178.3515625,10469.412109375,3569.69775390625,5115.0556640625,4834.982421875,3040.48486328125,3609.2080078125,4497.21142578125,0
62938.96875,2,2,1,42.23048400878906,0,0,0,0,0,0,17003.984375,15016.6875,12704.5,14529.294921875,6781.6015625,8243.220703125,2154.361083984375,2209.1474609375,1715.69189453125,791.883544921875,2004.598876953125,2141.27392578125,0
115435.15625,2,2,1,35.80978012084961,0,0,0,0,0,0,68595.234375,65789.5859375,56171.36328125,54545.5546875,52970.94140625,49339.53125,4284.234375,3869.064208984375,3417.97119140625,2616.5107421875,3647.458740234375,3667.28955078125,0
186170.625,2,2,2,33.192848205566406,0,0,0,0,0,0,97548.9375,94666.65625,86064.046875,85080.1875,86345.78125,94644.3984375,6009.27197265625,5367.28564453125,4271.94775390625,3911.006103515625,4762.22998046875,4896.06982421875,0
117031.9609375,2,2,2,27.928741455078125,0,0,0,0,0,0,43088.7890625,38846.0859375,36483.6484375,36421.5625,31519.4921875,30949.33203125,3090.3212890625,2831.332275390625,3585.0458984375,2297.0888671875,2824.56982421875,3094.148193359375,0
222595.65625,2,1,1,32.46010971069336,-2,-2,-2,-2,-2,-2,-1745.98046875,226.5859375,496.546875,5538.796875,1033.55859375,3255.05859375,850.9033203125,1005.55810546875,903.845703125,562.95703125,551.58056640625,2402.86181640625,0
168583.671875,2,2,2,32.302406311035156,0,0,0,0,0,0,77107.7890625,77500.546875,68231.828125,70316.6171875,67987.03125,70387.5078125,5112.83349609375,4531.64892578125,4534.087890625,3680.6015625,4289.1357421875,4204.2822265625,0
75757.6875,2,2,2,30.266090393066406,0,0,0,0,0,0,40725.8515625,37900.1328125,35148.20703125,34411.0234375,28352.283203125,26847.90625,2951.189208984375,2583.814208984375,2946.276123046875,1695.794189453125,2550.716552734375,2730.85107421875,0
272263.8125,2,1,1,40.818546295166016,-1,-1,-1,-1,-1,-1,21104.552734375,27584.02734375,21622.0390625,20535.943359375,11393.791015625,15640.37109375,30497.837890625,23628.00390625,4020.22998046875,4137.71923828125,6295.92333984375,10359.619140625,0
61750.0,2,2,2,29.631141662597656,0,0,0,0,0,0,19645.583984375,17532.009765625,20391.15625,19063.140625,16433.962890625,16015.677734375,2044.670654296875,2063.646728515625,2219.29443359375,1313.23876953125,1740.695556640625,2670.8720703125,0
172515.078125,2,2,2,34.01528549194336,0,0,0,0,0,0,92779.7890625,89978.09375,78762.0234375,78898.484375,78763.515625,82609.90625,5832.138671875,5151.7392578125,4438.3623046875,3796.4169921875,4692.33056640625,4746.30322265625,0
22875.171875,2,2,2,30.883302688598633,2,2,2,2,2,2,40075.96484375,40154.96484375,36446.8359375,41350.796875,36620.35546875,32742.37890625,959.4482421875,1783.15185546875,1953.271240234375,2024.744384765625,1656.719482421875,2624.89794921875,1
297560.0625,2,1,2,40.51970291137695,-2,-2,-2,-2,-2,-2,3950.5703125,10655.1875,11270.71875,16766.310546875,6866.17578125,9805.279296875,6185.8017578125,5044.52392578125,2927.486328125,3771.39990234375,3376.67822265625,8146.966796875,0
98190.1796875,2,2,1,34.91184997558594,0,0,0,0,0,0,39051.66015625,35962.04296875,32548.49609375,30883.09375,24899.89453125,23937.0859375,3009.574462890625,2800.52783203125,2892.801025390625,2096.1484375,2748.986328125,3252.32421875,0
215195.9375,2,1,2,30.980802536010742,-1,-1,-1,-1,-1,-1,5692.55078125,7772.921875,9321.8125,9903.73046875,3914.55859375,8326.60546875,7651.181640625,4651.7841796875,3864.66162109375,2798.50537109375,3864.789794921875,7378.966796875,0
134926.046875,2,1,2,30.80350685119629,0,0,0,0,0,0,36004.59375,30010.326171875,29253.9375,32958.5078125,25257.490234375,26427.65234375,6690.60498046875,3737.866943359375,4738.35107421875,3514.80615234375,4020.46923828125,6423.740234375,0
114091.75,2,2,2,37.294212341308594,0,2,0,0,0,0,63921.8046875,65179.6953125,56349.39453125,48862.55859375,37881.30078125,33551.04296875,4908.224609375,4704.595703125,4745.97705078125,3564.64501953125,4113.58203125,4449.57373046875,0
237978.59375,2,2,2,31.968883514404297,0,0,0,0,0,0,156482.875,150194.203125,171598.140625,153059.234375,156354.3125,181206.328125,10837.8671875,13418.619140625,87707.1640625,17595.4375,10422.625,8288.763671875,0
76686.0,2,2,2,31.27412986755371,1,2,2,0,0,0,4004.72265625,3932.1875,8321.859375,8798.6640625,2306.859375,9818.5703125,637.1640625,2232.67919921875,2482.960693359375,797.234375,2651.366455078125,2674.62451171875,0
