LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
,,2,2,,,,,,,,33338.140625,,8870.62890625,,3119.96875,,,,,2454.947021484375,3448.3291015625,,
,,,,,,,,-1,,,,,,,,,,,,,,,
320035.71875,,,,,0,,0,,,,124170.84375,,223758.203125,209317.75,,,,112440.578125,,,10627.21875,,
,,,,,,,,,,,,,,,,6286.17578125,,,,2295.179931640625,,,
228662.40625,,,,,,,,,,,,-289.0234375,,,878.125,,398.93603515625,,,,573.14453125,,0
,,,,,,,,2,,,,,,,,,,,,,,,1
,,1,,,,-2,,-2,,,,,12729.54296875,,9043.029296875,,,,,,,,
,,,,,-2,,,,,,,,,274631.46875,,,73594.875,,,,,53109.6953125,
,2,,,37.9793586730957,,,,,0,,5107.7890625,,,,3753.24609375,,,3847.5751953125,,2688.171875,,3333.1337890625,
,,,,,0,0,0,,,,111859.453125,,,,,,,5235.60400390625,,2649.125,,,
89308.1953125,,,,,,,,0,,,,,,,,,2652.730224609375,,,,,,
,,,2,,0,,,0,,,,,,,,,,,,,,,
,2,,2,,,,,0,,,,,,37082.26953125,,,,,,,,3079.343994140625,
,,,2,,,0,,,,,74589.1875,,,26706.646484375,,,,,2808.830078125,,3699.18408203125,8392.876953125,
,,,,37.4523811340332,,,,,0,,,,,,68733.640625,,,11226.958984375,,,,,
,,,,38.01877975463867,0,,0,,0,,,,,,,42408.74609375,,,,2966.15087890625,3249.585693359375,,0
,,,,,,,,,,,241508.25,,216514.984375,,,,,9030.1796875,5690.50732421875,,,,
229242.125,,,,,,,,,,,,,,,124953.921875,,,,,5068.77001953125,,,
,,,,,,,,,-2,,,,,,,,-113.41357421875,,,,,,
,,2,,,0,0,,,,0,25396.708984375,,,,18886.435546875,,2934.710693359375,2841.22314453125,,,,,
,,,,,,,,,,,,,,,,,,,,626.68505859375,,,
251114.265625,,1,,,,,,,,,,,,,1613.1015625,,,1173.34326171875,860.45751953125,,,,
,,,,,,0,0,,,0,,,,,,,4882.00244140625,,,,,,
,,,,,,,,,,-2,2656.7421875,3616.20703125,3425.40625,,4118.03515625,,1338.99072265625,,,,,,
,,,,,,-2,,,,,3248.46875,10020.13671875,,,,,,,,,,,
237147.3125,,,,,,-1,,-1,-1,,,9481.87890625,,,,,,12372.060546875,,,,9183.015625,
,2,,,,,,,0,0,,,,,,,254122.625,,,,,,,0
,,,,,-1,,,0,0,,,,8257.09765625,,,11464.169921875,,,,,,,
,2,2,1,,,,,,,,,17049.224609375,19361.009765625,,,,,2320.4287109375,,,,,
,,,,,0,,,,0,,167276.984375,,,,,,,,,,,,0
332199.03125,,,,44.05796813964844,,,0,,,,,,,,,,,14985.0537109375,,,,,0
151965.296875,,,2,,,,,,,-2,,,,,,,-262.54296875,,,,,2080.841552734375,
,2,,,,,,,,0,0,139687.8125,,131492.421875,,,,,,,,,,
203338.6875,,,,,,,,,,-2,,,565.38671875,,,,,308.3759765625,,,1152.2822265625,,
,,,,,,,,,,-2,-3139.05078125,,,,,,803.5693359375,623.0751953125,,424.2509765625,,2919.40185546875,
,,,,29.258201599121094,,,,,,0,,,,,6215.76953125,,,,,,,,0
,,,,,,,,,2,,,,,,,,,,,,,,
,,,1,,,,,-1,,,,,,,,,,,5404.8046875,,,,
,,,,,,,-2,,-2,,,-2349.71484375,,,,,,,,,,,0
166803.28125,,,,,,-1,-1,,,,,,5366.98046875,,-60.734375,,,,,,2797.70458984375,,
,,,,39.930259704589844,,-1,,,,,,,,,,,,,,,,,0
,,,2,,,,,,-1,,,10582.85546875,,12801.166015625,,11693.697265625,,,,,,,
176113.484375,,1,2,,-1,0,,0,0,,,,,11683.025390625,,,,6475.6376953125,4179.11181640625,,,,
,,,,,,,,-2,-2,-2,,,,,,6546.26171875,,,,,,,
,,2,,39.05711364746094,,,,,,,,,,99614.75,,,3579.047607421875,,,,,,
,2,,,,,,,,,,,,,118142.234375,126748.71875,,,,,5305.07958984375,,6985.2666015625,0
,,1,,41.699737548828125,-2,,,,,,-1243.01953125,1225.37109375,,,,,,,,,,,
101811.9453125,,,,,,,-2,,0,,,1473.76953125,5519.578125,,,,,,,2093.20263671875,,,0
,,,2,34.68558120727539,,,-2,,,,,,,,,,,,,,,,
,2,,,,0,,,,0,,,,,15075.62109375,,,,,,,2109.828857421875,,0
,,,,,,,,-2,,,,,,2260.03125,,,,,417.26708984375,-246.38525390625,,,
,,,,,,,0,,,,,,165406.9375,,165764.390625,,,,,,,9501.16015625,
74194.7265625,2,,1,,0,,0,,,,,,,,,,,,,,2432.8828125,,0
,2,,,32.07347869873047,,,,,,,,,,63852.421875,,,,,4126.2529296875,,,3840.945556640625,0
,,,,,,,,0,0,,,45629.390625,,,,,,,,,,,0
249477.40625,,1,1,36.463199615478516,,,-2,-2,,,2507.80859375,,,,,,,,,,2521.15869140625,,
249992.5625,2,,,,-2,,-2,,,,6211.109375,,,,,,,,3335.2939453125,,,,
141215.953125,,,,31.405969619750977,,,,,,,108112.453125,111431.984375,,,,,,,,,,,
,,,,28.667369842529297,,,,,,,,,,,,3632.8984375,,,,,,3264.5595703125,
,,,,,0,,,,,,,,,,72699.484375,,5940.86767578125,4931.0380859375,,,4487.68017578125,,
,2,2,,,0,0,,,,,90138.125,,79627.5625,,,,,6110.9931640625,5538.18115234375,4670.451171875,,,0
60069.6796875,,,,,,,,0,,,,,18041.560546875,,,,,,1849.220947265625,,,,0
,,,,,,,,,,,,25454.513671875,,21206.97265625,18688.611328125,19356.544921875,,,3378.587890625,,,,
,,,,,,,,,,-1,37649.671875,,,58290.0625,29418.48046875,,,,,,,,
,,2,,30.86524200439453,,,0,,0,,,53926.60546875,,,,,,,3820.17236328125,,3443.781982421875,,
,,2,,,,,,,,,,,,,,,,,,2445.50048828125,,,
,,,2,33.08646774291992,,,,,,,,,,,88144.34375,,,,,,,,0
,,,,,,,0,0,,,,149114.1875,137441.171875,,,,,,4644.0888671875,,,,1
,,2,2,35.62281799316406,,,,,0,,,113839.171875,,,,,,,,,,,
150827.71875,,,,,,2,,,2,,,,,,,,,,,4565.02001953125,,5876.96533203125,
,,,2,,,2,,,,,27073.9296875,22164.279296875,,,,,,,,,2748.52734375,,
,,2,,,,,,,0,,,,10347.65234375,,,,,,,,,3540.73291015625,
271781.0,,,1,,,,,,,,13019.31640625,,,,,,,,4453.908203125,,,,
,,,,,,,,,,,,,,,,106649.2734375,,,,11122.744140625,9503.189453125,,
307838.3125,,,,,,-1,,,,,,56906.2578125,,,,,,,50429.9921875,,,54112.1328125,
107379.0078125,,2,,,0,0,,0,,,,,50596.33984375,,43624.82421875,,,3367.33935546875,,,3391.49755859375,,0
,2,,,,,,0,0,,-2,58234.9765625,,,,7359.400390625,,,4881.9599609375,,,,4726.64990234375,0
,,,2,,,,,,,,,,,,148539.734375,156964.125,,,,,,8061.22607421875,0
,,,,,0,,,0,,,,87440.4375,,,,,,,,,,,0
140163.3125,,,,,-1,-1,,,,,,,,11174.763671875,,,,,4754.4228515625,,,3875.401611328125,
70728.75,,,,,,,0,,,0,,,,,6314.7109375,,,,,,2325.378662109375,,
,2,2,,,,,,0,,,,,,55987.26953125,52337.16015625,,,4127.900390625,,3082.1904296875,,3840.0615234375,
175367.6875,,,,,0,,,,0,0,,,,,,,,,,4238.267578125,,,0
,,,2,,,0,,,0,,,35057.42578125,,,,,,,3370.62109375,,,3173.519775390625,
,,1,,,,-2,,-2,,,,,,,2220.30859375,3958.17578125,,,,,,,
165259.234375,,2,,,0,,,,,0,,,,,,70954.65625,,,,3954.608642578125,,4363.32373046875,
,,2,,29.308639526367188,,,,,,,,35901.984375,,32046.576171875,,,,2677.626220703125,,1779.3359375,,,
,,,1,37.57389831542969,,-1,-1,,,,20074.158203125,20010.376953125,,,10763.119140625,14314.728515625,,,,,,,
,,2,,,,0,,,,,,15949.62109375,,18319.41796875,,,,1916.307373046875,,,1862.140625,,
,,,,,,,,,0,0,,,85791.3125,,85972.484375,89795.015625,,,,,,,0
,,,,31.141950607299805,2,,2,,,,,39666.19921875,,,,,,,,2161.150390625,,,
288037.59375,,,,39.53125762939453,,,,,,-2,,,10746.265625,,,,,,,,,,
94998.359375,,,,,0,,,,,0,41066.6015625,,,,,,,3128.1572265625,,2329.96826171875,,,
,,,,,,-1,,,,,,7672.1953125,,,,,,4862.83349609375,3752.74560546875,,,,
134042.203125,,,2,,,,,,,,29429.478515625,,,,,22288.58203125,,,,,3564.39501953125,,0
,,,,,,,,,,,,,,,,,,,,,,4495.05615234375,0
,,,,,,0,,,,,,,,147292.203125,140124.734375,,10981.2255859375,,,,,,
,,2,,31.032665252685547,,2,,,,0,,,15823.646484375,13432.1015625,,13133.134765625,,,,,,3519.29052734375,
177406.34375,,,,,,,,,,,,116310.59375,,,103350.265625,,,,,,,5989.08203125,
,,,,,,,0,,,,,106707.0703125,,,,,,,4929.40087890625,,5482.376953125,,
,2,,,,,,,,2,0,38171.0546875,36251.9453125,,,,,,2741.613037109375,,,,,
69945.40625,,,,,,,,,,,41208.578125,,,,,,2912.984375,,,,,,
,,,,,,-2,,,,,,,,,,,8657.24609375,,,,1783.815185546875,,0
,,,,,,,,,-1,-1,,2922.19921875,,,,,,,2665.714111328125,,,3530.99853515625,
,,,1,,1,,,,-1,-1,,5516.703125,7265.7109375,7616.95703125,6065.07421875,,,,,3253.766845703125,,,
,,,,,,-1,-1,,,,,,,,53342.03125,,,,,16394.1796875,,8339.8134765625,0
,2,,,,,,,,,,,148818.3125,,,,,,8503.4404296875,,,6317.00537109375,,
,,,2,,,,,,,-2,,,4494.59375,,,5955.951171875,,,,,,,0
,2,,,34.09661102294922,,,,,,0,,,,,,,,,,,,,
,2,,,,,,,,,,153.72265625,,2965.3515625,,,4982.2578125,,,,,,,
,,,,34.5347785949707,,2,,,0,,40658.41015625,,,,,,,,,,,2925.130126953125,
,,,,,,,-2,,-2,,,,,,91.2734375,,,,,,1201.17919921875,2525.555908203125,0
,,1,,,-1,,,,,,,2752.15234375,4222.1015625,,,,,2892.109375,,,,3085.42822265625,0
,,,,,,,,,,,,,,,10830.109375,12759.8671875,,8440.06640625,,,,,0
,,1,,,,,,,-2,-2,,,,,,,,7805.02197265625,,,4319.029296875,,
,2,,,37.368865966796875,,,,,,0,,,,,,,3933.69091796875,4016.4814453125,,,,6190.78173828125,
,,,,,,,,0,,,,,,,,,,,,,3497.46630859375,,
,,,,,,,,0,,0,,,,,42509.63671875,,,,,,4172.36962890625,,
,2,,2,,,,,,,,,,,,,,,,,,,,0
,,,,,,-1,,,,,,,,,,,,,2687.65673828125,,,,
,2,,,,,,,,,-2,,,,,,,1791.68359375,,,1267.912353515625,,,
,,,,,,0,,,,,,89488.03125,,,,,,,,,,,0
,2,,,,,0,,,,0,,,,,,,,,4516.0244140625,,4233.251953125,,
,2,,,41.85114288330078,,,,,,,2419.140625,,,5124.55078125,,4423.890625,,,,,,,
,2,,,32.599945068359375,,,-1,-1,,-1,4811.73046875,,,,7033.8125,,,,4785.9501953125,,3574.7392578125,,
85689.2421875,,2,,31.7101993560791,,,0,0,,,,,,,,,,,,,,,
,,2,,,,,0,,,0,,,,23042.505859375,,17962.095703125,,3511.414306640625,,,,,
,,,2,,,0,,,,,,,,,,,,1889.714111328125,,,1888.477783203125,,0
