dataset,column,type,rmse,rmse_mean_std,mae,mae_mean_std,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std
magic,Length,num,0.28007247256028933,0.279600±0.010728,0.17067177890498633,0.170173±0.005077,,,,,,,,
magic,Width,num,0.35530423876280676,0.355018±0.048992,0.1803407198709584,0.180188±0.007091,,,,,,,,
magic,Size,num,0.3168023326335324,0.317137±0.006339,0.24489878754349564,0.245047±0.004325,,,,,,,,
magic,Conc,num,0.16606877712144644,0.166055±0.003560,0.12411864839161717,0.123987±0.002637,,,,,,,,
magic,Conc1,num,0.21936670532527666,0.218975±0.005204,0.1592950842615175,0.159485±0.003404,,,,,,,,
magic,Asym,num,0.8701182444458486,0.868180±0.059253,0.5075033456415241,0.505074±0.015515,,,,,,,,
magic,M3Long,num,0.6757862417131875,0.676474±0.024653,0.4273240752089512,0.426172±0.011593,,,,,,,,
magic,M3Trans,num,0.9989240388632454,0.995225±0.046667,0.6976747173342943,0.696700±0.016357,,,,,,,,
magic,Alpha,num,0.7728169814307734,0.772940±0.012701,0.5782133510524369,0.578831±0.011660,,,,,,,,
magic,Dist,num,0.7027353910443475,0.702830±0.012848,0.5572455720346445,0.558382±0.010024,,,,,,,,
magic,class,cat,,,,,0.8890641430073607,0.888970±0.006864,0.8758271675758664,0.875114±0.008144,0.8877925536998923,0.888048±0.008025,0.8671619351911735,0.867090±0.008612
