dataset,column,type,rmse,rmse_mean_std,mae,mae_mean_std,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std
magic,Length,num,0.31540410094786736,0.316691±0.024218,0.19495333232456763,0.194787±0.012516,,,,,,,,
magic,Width,num,0.35484630490845576,0.351307±0.045001,0.19998293403382625,0.199782±0.015499,,,,,,,,
magic,Size,num,0.3311855118502061,0.331364±0.015558,0.2513091858878626,0.250733±0.010709,,,,,,,,
magic,Conc,num,0.19145432108675722,0.191924±0.011379,0.1406338068279131,0.141080±0.007034,,,,,,,,
magic,Conc1,num,0.24720863971881787,0.247309±0.010808,0.18242928372081815,0.182750±0.008532,,,,,,,,
magic,Asym,num,0.8277037033041353,0.833575±0.079480,0.503636801078473,0.501353±0.038148,,,,,,,,
magic,M3Long,num,0.7992802012709972,0.804970±0.056394,0.5030446137879313,0.501823±0.031578,,,,,,,,
magic,M3Trans,num,0.960782483085881,0.963048±0.073531,0.7039783367716581,0.704057±0.035564,,,,,,,,
magic,Alpha,num,0.7274589364195753,0.727334±0.025709,0.5535051283614293,0.554392±0.023277,,,,,,,,
magic,Dist,num,0.7182705491249828,0.715465±0.032106,0.555716647170696,0.556656±0.023236,,,,,,,,
magic,class,cat,,,,,0.8973684210526316,0.897851±0.014960,0.8840003443984377,0.882249±0.017123,0.8997595138279548,0.900417±0.016148,0.8731646644824658,0.873692±0.017815
