Length,Width,Size,Conc,Conc1,Asym,M3Long,M3Trans,Alpha,Dist,class
,,2.5781445503234863,0.45982328057289124,,,,,,,
21.138320922851562,,2.2943363189697266,,0.36055299639701843,,,,,151.9788055419922,h
,,,,,,,,,,g
,,,,,,,,,,
,,,,0.26264193654060364,,,,,141.46456909179688,
30.544485092163086,,,,0.23152227699756622,,7.566503047943115,0.22892123460769653,,,
156.40797424316406,,,0.27994057536125183,,,,,,,
,,,,,,,,,,
42.4717903137207,,,,0.14879292249679565,,,,8.182188034057617,,
,,,,,,,,,155.72669982910156,
,28.91031837463379,,0.16530969738960266,,,,2.9712913036346436,,186.19497680664062,
,,,,,,,-0.006198376417160034,,,
,,,,,,,,,,
30.38459587097168,,,0.37671029567718506,,,,0.3436300456523895,,170.82720947265625,
,,,0.3973415791988373,,1.8634700775146484,,,,,
,,,,,,,,43.74464416503906,,
,,,,,,-3.140523910522461,,,153.76736450195312,
,,,0.46638545393943787,,,-5.040905952453613,,,172.27882385253906,
,,,0.39350956678390503,,-18.152820587158203,,,,277.41717529296875,
,22.936634063720703,,0.2338544875383377,,-19.585140228271484,,,,,
,29.35190200805664,3.39548659324646,0.17087310552597046,,,,0.1783517748117447,,,
,,,0.41174831986427307,,13.671871185302734,,,,176.5977325439453,
,,,,,,92.1783218383789,,,,
,,,,0.1610131859779358,,,,,,
,,,0.22172749042510986,,-7.931276798248291,,,48.04684829711914,,
,,,,,,,,,,
,,,0.10946819186210632,,-97.27104187011719,,,,,h
,,,,,-2.2330663204193115,,,,,
,,2.332228660583496,,,,,0.15104950964450836,,,g
,,,,0.07536178827285767,,,-3.6026504039764404,,,
,35.95295715332031,,0.1139010488986969,0.05976372957229614,,,,,,g
,,,,0.43564069271087646,,,,,,g
,,2.1784775257110596,,,,,,,,
,15.572319030761719,2.4961047172546387,,0.2526504099369049,,1.9199638366699219,,,,
,,2.9150919914245605,,,,-7.133078575134277,0.4272804856300354,,187.8029327392578,
,,,,,,,,,,g
,11.270432472229004,,,,,2.9089975357055664,0.10010534524917603,,,
,9.943458557128906,,,,,,,,,
,,,,,-1.6992497444152832,,,,,g
,,,,,,,,,,
,12.209881782531738,,,,,,,,188.82733154296875,
,,,,,,,-1.0435521602630615,,,h
47.0258903503418,,,,0.1725042760372162,0.8912734985351562,,,,214.07196044921875,
74.2213363647461,28.977806091308594,,,,,,,,,
,,,,,,,,,,
,,,,,-50.19286346435547,,,,335.45184326171875,
35.019920349121094,,,,,,,,,,
,,2.716036319732666,,,5.8002400398254395,5.403263092041016,,,,
,,,,,,17.828657150268555,-0.16043797135353088,,,h
,,,,,,-132.51296997070312,,,,
,,,,,,,,,,
,23.819721221923828,2.978853464126587,0.25872334837913513,0.14430806040763855,,7.090365409851074,,46.88481521606445,,
,,,,,,,,,,g
,,,,0.45205456018447876,5.658567905426025,,,,,
,,,,,,28.83407211303711,,,,
,12.102164268493652,,0.4414435923099518,0.2550794780254364,,,0.16215185821056366,,,
,,2.6104681491851807,,,,-6.523903846740723,,,169.86474609375,
,,,,,7.20800256729126,8.472513198852539,,,,
,,3.266672134399414,,,,,,,174.66714477539062,
,,,,0.1667366772890091,,,0.48432639241218567,19.346345901489258,,
,11.351839065551758,,,0.3331593871116638,,,,,,
,,2.649973154067993,0.37006285786628723,0.2017630934715271,,,,,,
,,3.076913833618164,0.18437997996807098,,,,,10.662771224975586,,
,,,,,,,,32.24727249145508,,
,22.027042388916016,,0.19954317808151245,,,,,,,
,,,,0.09622200578451157,-2.679668664932251,,,,270.95318603515625,
,19.384517669677734,,,,,,,,,
,23.25813102722168,,,,,-16.534515380859375,-1.2446086406707764,,,h
,,,,,,4.5077056884765625,,,,
,,2.949174404144287,,,,,0.13218027353286743,,,h
,,,,,,,0.15551912784576416,35.24003982543945,153.70489501953125,
110.49879455566406,,,,,,,,,,
20.604759216308594,,,,,,,,,,g
,,2.7161545753479004,,,,,0.508633553981781,,,g
,,,,,,,,,,
,14.61046028137207,2.5553622245788574,,,,,,50.765777587890625,163.7454071044922,
101.25808715820312,,4.080541133880615,,,,,,1.9881038665771484,,
,,,0.601069450378418,,,,,31.361326217651367,,
,,,,,23.56374740600586,,,,,
,,,,0.14931783080101013,,,,,,
,,,,,,,,,,
75.62187957763672,,,,,-27.1583251953125,,,,,
,,,,,8.778209686279297,,,,,
,,,,,,-28.711170196533203,,61.252281188964844,,
35.01518249511719,,,,,,,,,,
47.09113311767578,21.663759231567383,,,,,,0.4800739586353302,6.952005386352539,,
,,,0.2782965898513794,,20.032812118530273,,,,,
88.9276123046875,,,,,,,0.902961254119873,,290.3444519042969,
,,,,,,,,,,
,,,,0.3365583121776581,,,,29.58233070373535,,
,,,0.32108667492866516,,,19.830978393554688,,22.091583251953125,,g
,,,,,,,0.28397801518440247,,210.6390380859375,h
,9.77420711517334,2.4248921871185303,,0.30398648977279663,-3.118570327758789,,,,,h
,,,0.3572967052459717,0.20114116370677948,,,,,,
,,,,,,-1.1565704345703125,0.10330602526664734,49.375614166259766,,
,,,0.5330517888069153,,,,,,,
,,2.9914791584014893,,0.1419220268726349,,,,,,
,,,0.1047443151473999,,,91.18474578857422,,,,
,,,0.29658734798431396,,,,,,,
,,,,,21.287723541259766,26.684005737304688,,,,
17.62148666381836,,2.227849245071411,0.7786115407943726,,,0.2597227096557617,,39.77750778198242,154.08648681640625,
,,,,0.26735416054725647,-1.8279798030853271,,,,,
,,,,,,62.998538970947266,,,,
,,3.0296711921691895,,0.19050419330596924,,,-0.5061584711074829,20.247093200683594,,
,,,,0.1920921355485916,,,0.36905238032341003,,,
75.40202331542969,31.284133911132812,,,0.08440050482749939,,,,,,
,,,,,,,,,,
46.202613830566406,,,,0.17080096900463104,,,,7.010311126708984,,
,,2.6887738704681396,,,,,,,168.30209350585938,
110.8780517578125,,,,,,,,,251.77886962890625,
,,,,0.02899773418903351,,,,,239.36888122558594,g
,,,,,,,,,,g
,,,,,9.635164260864258,,0.24607081711292267,,,
,,,0.7227689027786255,,2.1870312690734863,1.4334383010864258,,40.21409606933594,,g
,16.59609031677246,,,,,,,,,
,,,,0.17795370519161224,,-8.585766792297363,,15.135818481445312,,
47.48677062988281,,,,,,,,,,h
,,,,0.11979427933692932,,,0.3453793525695801,5.931924819946289,,
,,,,,,0.3509674072265625,0.28822386264801025,,,h
,,,,,,,,,,h
60.020301818847656,,3.1637444496154785,0.1828031986951828,0.10295174270868301,,,0.14264604449272156,47.015586853027344,,
43.188743591308594,,,,,,,,,,g
,,2.744943380355835,0.32053089141845703,,,,0.2747787833213806,,182.0899200439453,
,,2.694096326828003,,,,,,,,h
,,,,0.31381937861442566,,,,13.90805435180664,,
,,,,0.2712039351463318,15.535686492919922,,,,,
,,,,,,,,,,h
,,,,,,,,,,
34.521728515625,,,,,,12.918673515319824,,,,
,,2.882194995880127,,,,,,,,
,18.153549194335938,,0.3976292014122009,0.22032834589481354,,,0.8021762371063232,,,
21.609643936157227,9.972121238708496,,,0.3619922399520874,2.5945119857788086,,,,,g
,11.51933479309082,,,,,3.7504777908325195,0.2628634572029114,48.52001190185547,,
50.304969787597656,17.203710556030273,,,,,,,,204.3809051513672,
,,,0.5039868950843811,,,,,,163.65809631347656,
,,3.6914119720458984,,,,,,,,
,,,,0.41241735219955444,,1.4371223449707031,-0.014846086502075195,41.05765151977539,,
66.06449127197266,,,,,,,,,,
,,,,0.18873737752437592,6.358455181121826,,,26.897727966308594,141.54312133789062,
,,,,,,,,,216.50845336914062,
21.60527229309082,,,0.7202088832855225,,2.171854019165039,,,39.076141357421875,,
,,,,0.15557600557804108,,28.509239196777344,,,,
66.77108764648438,,,,,,,,,,
,,,,,,,-0.43237408995628357,,,
,,,0.3831430971622467,0.2090822011232376,,,,,,
,,,,0.09139551222324371,,,,,,
,21.90802574157715,,,,,,,,270.8167724609375,g
,,,0.47465795278549194,0.27759209275245667,,,,,,g
,,,0.2681826055049896,,,14.480154991149902,1.1655173301696777,32.554443359375,,
,,2.217703342437744,,,2.978513717651367,,,,,
,,,,,,20.576759338378906,,,,
,23.309803009033203,,,0.1501690149307251,,,,,,
,,,,0.15020206570625305,,82.76498413085938,,,,
19.706130981445312,,,0.7180109620094299,,,,,41.257225036621094,152.68368530273438,
,,,,,,,0.3472678065299988,,,
,37.835994720458984,,,,,,,1.1367912292480469,,
,7.728019714355469,,,,,,,,,g
,20.278535842895508,,,0.16197708249092102,,,,,,
,19.57134437561035,,,,,,,,186.82666015625,
,,,,,,,,,,
,,,,,,,,41.9486083984375,,
,9.110686302185059,2.4211549758911133,,,5.571898937225342,,,,,
24.90178108215332,,,,,,15.364208221435547,,,,
,,3.6057190895080566,,,29.633922576904297,,1.1547211408615112,,251.10934448242188,
,25.088035583496094,3.478343963623047,,0.09512878209352493,,,,,221.96612548828125,
25.936649322509766,,,0.4510941207408905,,,-5.742648124694824,,40.50284194946289,,g
,,,,,-50.85442352294922,-2.1378583908081055,,40.917396545410156,283.1945495605469,
,,3.39914608001709,,,-85.87767791748047,,,,222.70779418945312,h
,,,0.1982993185520172,,,,,,,
,,,,0.27908220887184143,-0.789879322052002,,,,,
44.77442169189453,19.553787231445312,,,,,,0.45993509888648987,,,g
,,,0.09869787096977234,,,,,,,
,,,0.4448530375957489,0.256418913602829,,,,,155.3790740966797,g
,,,,,,,2.4944496154785156,,,
,18.402936935424805,,,0.22201061248779297,,6.785068988800049,,,,
,,2.947573661804199,,,19.706989288330078,,,,,g
,,,,,18.486915588378906,,,,222.5775146484375,g
,,,,,-46.8911247253418,,,,,
22.646976470947266,12.022947311401367,,,0.3077874481678009,,0.9673957824707031,,46.89826583862305,,g
,,,,0.27419567108154297,,,,53.9507942199707,164.81906127929688,
,,,,,,,,48.4484977722168,,
95.12718200683594,,,,0.20245468616485596,,,2.7080447673797607,,,h
,,2.4876725673675537,,,,,,,139.64166259765625,
,173.70867919921875,,,,-106.3798599243164,,,,192.0587158203125,
68.68144989013672,,,,,,,0.3460129201412201,4.153722763061523,,
,,,,,-11.114706039428711,,-1.4871127605438232,,,g
,,,,0.4688938558101654,,,,,,g
,,,0.23854534327983856,,7.18759298324585,,,,253.86825561523438,
144.50836181640625,,,,,,,,38.660011291503906,,h
,,,0.5356510281562805,,16.545618057250977,,,,,
,15.038055419921875,2.4439139366149902,,0.31981274485588074,3.163173198699951,,,,158.67941284179688,g
,,2.791682243347168,0.3098297417163849,,,,,,,
,,2.2346208095550537,,,,3.1530728340148926,,,,
,32.454010009765625,,0.30958864092826843,,,,7.132437229156494,,,h
,,,,,,,,,,
53.445526123046875,19.999086380004883,,,0.128330796957016,,32.860511779785156,0.3645133376121521,,,
,,,0.3534444570541382,,,,,7.64404296875,195.7804718017578,
26.282958984375,,,,,-3.612396240234375,,,,,
,,2.378338575363159,,,,-3.2736129760742188,,,,g
,,,,,18.09442710876465,,,8.968225479125977,,
,,,,,,,,37.10214614868164,,
,,3.541954278945923,,,,,0.10465756058692932,2.977203369140625,,
,,,,0.21254390478134155,,13.878030776977539,,,,
,,,,,-2.4253296852111816,,,,,
74.41473388671875,,,,,,56.01628494262695,0.10063949227333069,,,
,13.450262069702148,,,0.2922426462173462,,,,,,
,19.44052505493164,,,,,13.903027534484863,,,,
101.12940979003906,,3.445103406906128,,,,,,,,
,,,,,,,,,,
,,,0.3753996789455414,0.2064681351184845,,,,,,
50.20610809326172,,,,,,,,4.526056289672852,186.3231201171875,
51.94350051879883,,,,,,,,,175.98812866210938,
36.00963592529297,,2.7579898834228516,,,,-9.894610404968262,,,177.12216186523438,g
,24.055204391479492,,,,,,-0.0023102164268493652,,260.12786865234375,
,,,,,,,,,,g
,,2.6432695388793945,,,,,,,175.9537811279297,
,,,,,,,3.3547661304473877,,,
,7.0003156661987305,,,,,,,40.48632049560547,,g
,,,0.2848830223083496,,,,,,,
24.780916213989258,13.064209938049316,2.535118341445923,0.5001534223556519,,,,,,166.17236328125,
,,,,0.21409310400485992,,,,,,
,,,,0.20124350488185883,,,,,,g
,,,,,,,,,,
,14.337430953979492,,,,,,,,,
,16.75853157043457,,,,9.677742004394531,,0.3782016336917877,,,
,,,,,,13.832749366760254,-0.4579351842403412,,327.2792053222656,
,,,,,-3.5025181770324707,,,25.409976959228516,,
