dataset,column,type,rmse,rmse_mean_std,mae,mae_mean_std,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std
shoppers,Administrative,num,0.5989223683221598,0.598357±0.028358,0.35283256067529295,0.351218±0.014133,,,,,,,,
shoppers,Administrative_Duration,num,0.861160412787403,0.859316±0.081594,0.3510954807495678,0.351625±0.023344,,,,,,,,
shoppers,Informational,num,0.5373523053511536,0.535938±0.029630,0.26251812970252164,0.262267±0.013649,,,,,,,,
shoppers,Informational_Duration,num,0.7170723241393607,0.713005±0.068827,0.23865345417373449,0.240115±0.020454,,,,,,,,
shoppers,ProductRelated,num,0.4797659922156837,0.476957±0.025989,0.2885672900128222,0.288520±0.011288,,,,,,,,
shoppers,ProductRelated_Duration,num,0.5140294165756032,0.513114±0.019835,0.3253569362614343,0.324769±0.010995,,,,,,,,
shoppers,BounceRates,num,0.24026111500877123,0.240096±0.010336,0.15257146084212958,0.152706±0.005514,,,,,,,,
shoppers,ExitRates,num,0.32037368731322824,0.320951±0.011653,0.2202077901318625,0.220142±0.007002,,,,,,,,
shoppers,PageValues,num,0.6271019451352203,0.625558±0.049235,0.28413853459104943,0.284616±0.015318,,,,,,,,
shoppers,SpecialDay,num,0.7718387283163758,0.767079±0.035585,0.36637765317085635,0.364505±0.018501,,,,,,,,
shoppers,Month,cat,,,,,0.44363341443633414,0.444039±0.013924,0.17692633993722784,0.175730±0.008191,0.21808987548507774,0.217169±0.029817,0.19588791393868324,0.194939±0.005938
shoppers,OperatingSystems,cat,,,,,0.7420924574209246,0.741192±0.011311,0.39486970166454055,0.422324±0.042692,0.47242222813948237,0.495098±0.068454,0.37530264340498654,0.407393±0.042713
shoppers,Browser,cat,,,,,0.8280616382806164,0.828356±0.010416,0.2643903654163657,0.271191±0.020398,0.27802559759081497,0.289123±0.030005,0.2625744795974676,0.273934±0.022784
shoppers,Region,cat,,,,,0.39010543390105434,0.389665±0.013646,0.09718889685235389,0.097163±0.008433,0.1342516069788797,0.131611±0.016595,0.13122648835637854,0.131473±0.006907
shoppers,TrafficType,cat,,,,,0.41362530413625304,0.414426±0.014516,0.16051989591431903,0.166052±0.013819,0.21609286117159354,0.219952±0.029680,0.15282093901808538,0.159354±0.011443
shoppers,VisitorType,cat,,,,,0.8832116788321168,0.882563±0.008985,0.6442809177330614,0.640723±0.051711,0.7626880245990194,0.757366±0.070246,0.5857829062909979,0.586091±0.053201
shoppers,Weekend,cat,,,,,0.7623682076236821,0.762082±0.012227,0.49897025600059913,0.498517±0.014201,0.6863135873155692,0.687307±0.044199,0.530158769766016,0.530755±0.007705
shoppers,Revenue,cat,,,,,0.9042984590429846,0.904569±0.008874,0.7798747276688454,0.780205±0.018031,0.8316519770471729,0.831331±0.019965,0.7469151834458779,0.746558±0.018134
