dataset,column,type,rmse,rmse_mean_std,mae,mae_mean_std,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std
shoppers,Administrative,num,0.6991866306147211,0.699579±0.061908,0.42033955310242677,0.421873±0.037901,,,,,,,,
shoppers,Administrative_Duration,num,1.249110504201425,1.208323±0.242124,0.4930250967649934,0.488051±0.066351,,,,,,,,
shoppers,Informational,num,0.6900209727295178,0.675359±0.100976,0.2904154895202177,0.286391±0.035892,,,,,,,,
shoppers,Informational_Duration,num,0.6487550630431533,0.625530±0.163750,0.19596254501023952,0.195525±0.040365,,,,,,,,
shoppers,ProductRelated,num,0.5321543611607547,0.529421±0.053165,0.34531192964953406,0.346387±0.025382,,,,,,,,
shoppers,ProductRelated_Duration,num,0.46213967168638126,0.456078±0.043786,0.29041661611607855,0.289860±0.022836,,,,,,,,
shoppers,BounceRates,num,0.2847811990523168,0.283219±0.027001,0.176565092194819,0.175460±0.014970,,,,,,,,
shoppers,ExitRates,num,0.35114808695492683,0.351883±0.032291,0.22923492449940916,0.228364±0.017048,,,,,,,,
shoppers,PageValues,num,0.6713514387195877,0.654891±0.131911,0.30341531643549596,0.305384±0.038736,,,,,,,,
shoppers,SpecialDay,num,0.921958812841762,0.913010±0.090110,0.4346747816227593,0.436295±0.048872,,,,,,,,
shoppers,Month,cat,,,,,0.3371647509578544,0.334470±0.030268,0.13014883953363604,0.129188±0.011866,0.13907659901905425,0.138760±0.023855,0.15167364282090312,0.152287±0.011929
shoppers,OperatingSystems,cat,,,,,0.6822429906542056,0.682570±0.031842,0.40057264684852406,0.422217±0.078352,0.432273000481346,0.451357±0.079732,0.397261163032191,0.412897±0.075342
shoppers,Browser,cat,,,,,0.8048780487804879,0.804255±0.026575,0.2991939598000204,0.315279±0.034958,0.2967724867724868,0.317538±0.032855,0.3044620540786185,0.324024±0.033467
shoppers,Region,cat,,,,,0.3898305084745763,0.391554±0.032650,0.09347442680776014,0.090664±0.018401,0.11699252900969638,0.116597±0.035260,0.1300921300921301,0.130959±0.013471
shoppers,TrafficType,cat,,,,,0.367816091954023,0.367305±0.028887,0.20814101811366456,0.200647±0.032448,0.29810547166662277,0.261411±0.053859,0.20985626234501797,0.213352±0.033340
shoppers,VisitorType,cat,,,,,0.8801652892561983,0.878719±0.020918,0.6749322493224933,0.662034±0.077764,0.8258688203622125,0.813678±0.079614,0.6057802829354554,0.606471±0.087447
shoppers,Weekend,cat,,,,,0.755656108597285,0.755158±0.030132,0.46417025862068967,0.461446±0.026933,0.5819444444444444,0.587525±0.125169,0.5099393530997305,0.508899±0.014342
shoppers,Revenue,cat,,,,,0.8821292775665399,0.882991±0.018540,0.7414454698252624,0.737721±0.040329,0.8737268955111279,0.874388±0.040370,0.6951832151300237,0.697550±0.034158
