dataset,column,type,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std,rmse,rmse_mean_std,mae,mae_mean_std
beijing,year,cat,0.20522030651340997,0.205210±0.006354,0.20503233850659175,0.204112±0.006306,0.2055020559788708,0.205508±0.005444,0.2050869366720159,0.205496±0.006388,,,,
beijing,month,cat,0.08453065134099617,0.083863±0.004158,0.08458611799754089,0.084241±0.004453,0.08671181865523775,0.086381±0.004405,0.08508781676853296,0.085638±0.004726,,,,
beijing,day,cat,0.03328544061302682,0.033507±0.002870,0.03228807032565264,0.032054±0.002996,0.03366398346925478,0.033464±0.002664,0.033036560699022346,0.033065±0.002768,,,,
beijing,hour,cat,0.0435823754789272,0.043647±0.002976,0.04313769083421428,0.043161±0.002999,0.04428777390317209,0.044229±0.003086,0.0435074151931952,0.043501±0.002915,,,,
beijing,pm2.5,num,,,,,,,,,3.839679054672511,3.839517±0.039846,3.087282571705675,3.085858±0.036055
beijing,DEWP,num,,,,,,,,,2.411722265089247,2.412410±0.024455,1.9760324268825682,1.977399±0.021502
beijing,TEMP,num,,,,,,,,,2.517058886768438,2.516903±0.023039,2.0860215267345223,2.085682±0.021467
beijing,PRES,num,,,,,,,,,2.8948880862924606,2.893860±0.025434,2.4786399745553283,2.478358±0.024289
beijing,cbwd,cat,0.2353927203065134,0.235669±0.006400,0.23076870965970764,0.230615±0.006742,0.24864537564006012,0.248298±0.007013,0.25235807906483,0.252667±0.006936,,,,
beijing,Iws,num,,,,,,,,,3.056484490933025,3.052128±0.047983,2.200896048477011,2.202246±0.033763
beijing,Is,num,,,,,,,,,17.284055516840734,17.286611±0.155781,13.788815356582592,13.781155±0.160486
beijing,Ir,num,,,,,,,,,19.250479834688246,19.258150±0.096792,17.76024848719546,17.757114±0.121064
