dataset,column,type,rmse,rmse_mean_std,mae,mae_mean_std,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std
adult,age,num,1.004243910114548,1.003744±0.006491,0.7635516667918162,0.763419±0.004879,,,,,,,,
adult,workclass,cat,,,,,0.5975677169707021,0.597645±0.004050,0.2394083439345951,0.239811±0.004048,0.2394424711589217,0.239634±0.003265,0.2394235315366785,0.239683±0.003463
adult,fnlwgt,num,1.2918791295880594,1.291101±0.011524,0.9766898475878153,0.976370±0.006142,,,,,,,,
adult,education,cat,,,,,0.9646213377556662,0.964592±0.001420,0.7804043165893032,0.780022±0.004545,0.8037065322585137,0.803452±0.006425,0.7654836743742015,0.765569±0.004879
adult,education.num,num,0.03913595819106799,0.039120±0.000897,0.023093314285283707,0.023110±0.000240,,,,,,,,
adult,marital.status,cat,,,,,0.7194275535900743,0.719168±0.003671,0.3108442318523901,0.310330±0.003581,0.3111975244522121,0.311258±0.003777,0.311088716421693,0.311177±0.003633
adult,occupation,cat,,,,,0.2098151219212579,0.209570±0.003156,0.16551926414141513,0.165362±0.002171,0.16735153218516724,0.167525±0.002394,0.16491887247506895,0.165100±0.002235
adult,relationship,cat,,,,,0.6128001965481236,0.612712±0.003720,0.42171119208337804,0.421694±0.004657,0.4475241915077306,0.447599±0.005191,0.41021191862157175,0.409902±0.003974
adult,race,cat,,,,,0.7489711934156379,0.748769±0.003283,0.21224226240702948,0.212316±0.003547,0.21168394531214996,0.211705±0.003638,0.21312674162666156,0.213229±0.003589
adult,sex,cat,,,,,0.7363798292488176,0.736478±0.003896,0.7028778014072385,0.703137±0.003941,0.7031445911938803,0.703240±0.003643,0.7026163854296927,0.702709±0.003910
adult,capital.gain,num,1.229592324445171,1.229254±0.050620,0.22184871288057498,0.222163±0.009092,,,,,,,,
adult,capital.loss,num,1.3399897712141722,1.340484±0.020058,0.38087303558638264,0.382286±0.009941,,,,,,,,
adult,hours.per.week,num,1.1695432671611208,1.169218±0.009634,0.7989459180303327,0.798636±0.007019,,,,,,,,
adult,native.country,cat,,,,,0.8110066949204594,0.811176±0.003097,0.028373786225811635,0.028194±0.001731,0.02875772656536664,0.028975±0.001851,0.02866919973008919,0.028641±0.001970
adult,income,cat,,,,,0.7557889564523064,0.755612±0.003256,0.668768281556603,0.669266±0.004049,0.6655219219597446,0.665279±0.004018,0.6725691223065087,0.672397±0.004479
