dataset,column,type,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std,rmse,rmse_mean_std,mae,mae_mean_std
beijing,year,cat,0.1925287356321839,0.192146±0.006071,0.19215526208178316,0.192007±0.006031,0.19331481350981922,0.192860±0.005704,0.19278334507146586,0.193443±0.005982,,,,
beijing,month,cat,0.07974137931034483,0.079586±0.004233,0.07795410315035442,0.077911±0.004105,0.07840729608007417,0.079060±0.004551,0.07861659709893627,0.078881±0.004034,,,,
beijing,day,cat,0.031130268199233715,0.031060±0.002764,0.029038546657620366,0.029008±0.002554,0.029614465383050535,0.029369±0.002756,0.03163916188941223,0.031546±0.002774,,,,
beijing,hour,cat,0.039511494252873564,0.039316±0.002915,0.03902921306740532,0.038993±0.002860,0.03961675533772979,0.039730±0.003060,0.03979660218275329,0.039595±0.002951,,,,
beijing,pm2.5,num,,,,,,,,,5.809647935374208,5.810031±0.049957,4.920078304309901,4.920051±0.048313
beijing,DEWP,num,,,,,,,,,4.637165945125781,4.638760±0.025011,4.287447493602892,4.287922±0.025410
beijing,TEMP,num,,,,,,,,,4.172182995030537,4.173770±0.027337,3.7790804637511957,3.780773±0.025657
beijing,PRES,num,,,,,,,,,4.206382128931325,4.206454±0.027683,3.768824786793302,3.771545±0.025536
beijing,cbwd,cat,0.24329501915708812,0.243753±0.006274,0.23506935032544474,0.234499±0.007118,0.24563434194049377,0.245940±0.006799,0.24516350537396087,0.245738±0.007234,,,,
beijing,Iws,num,,,,,,,,,5.169870243189992,5.168752±0.052989,4.212988923293303,4.214871±0.047442
beijing,Is,num,,,,,,,,,19.17481092618492,19.173606±0.136329,16.596175690787227,16.602768±0.163246
beijing,Ir,num,,,,,,,,,16.29263263949009,16.293291±0.102666,14.658433908138658,14.655625±0.108011
