dataset,column,type,rmse,rmse_mean_std,mae,mae_mean_std,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std
default,LIMIT_BAL,num,1.0790767855597592,1.079343±0.017753,0.7577795120945999,0.757201±0.013727,,,,,,,,
default,SEX,cat,,,,,0.5093333333333333,0.510108±0.009781,0.4900070955534532,0.490640±0.008768,0.4903754708782385,0.489844±0.009189,0.4901918788504907,0.489585±0.009105
default,EDUCATION,cat,,,,,0.37433333333333335,0.373949±0.008467,0.1401046200154917,0.140229±0.004628,0.14059077460331376,0.141592±0.005465,0.13966735439695593,0.140761±0.005599
default,MARRIAGE,cat,,,,,0.5363333333333333,0.535987±0.009833,0.3259500192867767,0.320051±0.047517,0.3336501523851651,0.331501±0.064046,0.3200535028766613,0.314119±0.047579
default,AGE,num,1.219554559824821,1.218640±0.016313,0.9252274413946533,0.925758±0.014986,,,,,,,,
default,PAY_0,cat,,,,,0.6723333333333333,0.671856±0.008655,0.27865052436691706,0.289874±0.031167,0.3374697166303314,0.314896±0.048494,0.263404336482234,0.275123±0.026371
default,PAY_2,cat,,,,,0.7613333333333333,0.761850±0.008197,0.3369183388445328,0.334718±0.034100,0.3443709796913378,0.345657±0.042840,0.3351788620317804,0.342574±0.036386
default,PAY_3,cat,,,,,0.7736666666666666,0.774628±0.007596,0.3577534295786221,0.354810±0.024617,0.360305590006364,0.362248±0.027114,0.3814937378800002,0.374630±0.045611
default,PAY_4,cat,,,,,0.7736666666666666,0.774117±0.007650,0.40478769572855555,0.417610±0.047761,0.4317222923420573,0.441501±0.061986,0.40343593017341095,0.423654±0.048816
default,PAY_5,cat,,,,,0.771,0.771626±0.007580,0.3489483928441504,0.370256±0.035451,0.3499449708314098,0.375767±0.039923,0.35002594372275697,0.376026±0.037127
default,PAY_6,cat,,,,,0.74,0.740793±0.008445,0.31732306232091534,0.328174±0.022827,0.321180836504549,0.333787±0.027800,0.3147543767984142,0.322569±0.019487
default,BILL_AMT1,num,0.39814957196441486,0.396058±0.022275,0.16252490769934802,0.162812±0.006740,,,,,,,,
default,BILL_AMT2,num,0.33560832599840945,0.334471±0.022473,0.1297447885115349,0.129876±0.005756,,,,,,,,
default,BILL_AMT3,num,0.3978011892509322,0.397408±0.023413,0.15064614869392112,0.150600±0.006826,,,,,,,,
default,BILL_AMT4,num,0.3706976028918648,0.370757±0.021796,0.14853426648613172,0.148272±0.005982,,,,,,,,
default,BILL_AMT5,num,0.3056332705131219,0.304277±0.019563,0.1256949698386648,0.125651±0.005203,,,,,,,,
default,BILL_AMT6,num,0.38287261770297176,0.382012±0.029963,0.16232665341158628,0.162209±0.006330,,,,,,,,
default,PAY_AMT1,num,1.0783429814523964,1.068783±0.106055,0.3027504754429689,0.305524±0.018949,,,,,,,,
default,PAY_AMT2,num,0.8098497087765152,0.803894±0.071879,0.22039597671311595,0.219775±0.014240,,,,,,,,
default,PAY_AMT3,num,1.1809765274089346,1.178412±0.127824,0.28408278330289355,0.283732±0.021690,,,,,,,,
default,PAY_AMT4,num,0.8798738134482426,0.869589±0.074446,0.25298692260517547,0.252270±0.016075,,,,,,,,
default,PAY_AMT5,num,0.9901190403150821,0.990543±0.102972,0.2712190773040002,0.271686±0.016777,,,,,,,,
default,PAY_AMT6,num,1.2576942665116104,1.251478±0.126518,0.3016767489177346,0.301404±0.021406,,,,,,,,
default,default payment next month,cat,,,,,0.705,0.704728±0.008187,0.5525782865821177,0.552932±0.010510,0.5560678928653655,0.555679±0.009893,0.55070525174618,0.551623±0.009221
