dataset,column,type,rmse,rmse_mean_std,mae,mae_mean_std,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std
shoppers,Administrative,num,0.8003153281828919,0.799964±0.037253,0.4350611385911722,0.433713±0.019072,,,,,,,,
shoppers,Administrative_Duration,num,1.0759234591242997,1.071080±0.079412,0.432473911204432,0.432073±0.028002,,,,,,,,
shoppers,Informational,num,0.7625855479107783,0.761127±0.044797,0.31483737771712533,0.316297±0.020359,,,,,,,,
shoppers,Informational_Duration,num,1.0057622675515476,0.989640±0.103295,0.2779705489749145,0.279132±0.029862,,,,,,,,
shoppers,ProductRelated,num,0.6833166294104334,0.678356±0.044907,0.35695320961403393,0.356567±0.016738,,,,,,,,
shoppers,ProductRelated_Duration,num,0.591268462190799,0.586669±0.034664,0.3177115288894564,0.318427±0.014645,,,,,,,,
shoppers,BounceRates,num,0.4091850070833359,0.409047±0.018815,0.2381065621466475,0.238355±0.009464,,,,,,,,
shoppers,ExitRates,num,0.49027907870437915,0.490277±0.015098,0.347194873825991,0.346600±0.010242,,,,,,,,
shoppers,PageValues,num,0.9222379987002682,0.918077±0.057304,0.3613155650043435,0.361620±0.022014,,,,,,,,
shoppers,SpecialDay,num,1.1491135504642185,1.142621±0.047202,0.4326360373012154,0.430620±0.029668,,,,,,,,
shoppers,Month,cat,,,,,0.2003244120032441,0.200876±0.011031,0.10338064832174243,0.102982±0.007430,0.10369103385823016,0.103704±0.008030,0.10355249764037214,0.103854±0.007691
shoppers,OperatingSystems,cat,,,,,0.5182481751824818,0.518262±0.013746,0.1885181062730615,0.204289±0.019739,0.1949659206727261,0.208263±0.018363,0.18472684197664027,0.198993±0.019763
shoppers,Browser,cat,,,,,0.6715328467153284,0.671241±0.013586,0.13206421181380748,0.140636±0.009594,0.12976065322250355,0.138096±0.009369,0.13501334195103473,0.145083±0.009911
shoppers,Region,cat,,,,,0.21248986212489862,0.213063±0.011985,0.0921458250577073,0.091941±0.007085,0.09131910483584253,0.091383±0.007955,0.09376440191132887,0.093208±0.007062
shoppers,TrafficType,cat,,,,,0.1873479318734793,0.187051±0.011172,0.05153594007458604,0.053846±0.005027,0.05105484938089478,0.053541±0.005340,0.052840036738631094,0.054765±0.005726
shoppers,VisitorType,cat,,,,,0.8045417680454177,0.803396±0.011134,0.41560727581068985,0.418178±0.039046,0.43595848595848596,0.433253±0.058391,0.40435592962219363,0.404852±0.031923
shoppers,Weekend,cat,,,,,0.6545012165450121,0.654858±0.013768,0.505388150212814,0.504141±0.013496,0.5067965836641405,0.507001±0.015011,0.5060420914548073,0.506318±0.013636
shoppers,Revenue,cat,,,,,0.7664233576642335,0.766729±0.012017,0.5062953241090893,0.505173±0.014366,0.5069217525736973,0.506358±0.014634,0.5062650398057944,0.505714±0.013896
