dataset,column,type,rmse,rmse_mean_std,mae,mae_mean_std,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std
default,LIMIT_BAL,num,0.8950347056954848,0.895574±0.017173,0.6160216897326871,0.615194±0.011876,,,,,,,,
default,SEX,cat,,,,,0.5413333333333333,0.542377±0.009184,0.5183008341984003,0.518131±0.009322,0.5183066815640789,0.518688±0.008900,0.5182954741116836,0.517976±0.008672
default,EDUCATION,cat,,,,,0.42033333333333334,0.420552±0.008996,0.17031357184124965,0.173283±0.012691,0.17200813615945862,0.176553±0.013622,0.16932457199911233,0.173043±0.013427
default,MARRIAGE,cat,,,,,0.5856666666666667,0.585446±0.009095,0.3241699029099033,0.323843±0.017859,0.32608761164489747,0.327099±0.017035,0.3225083391927226,0.321538±0.016836
default,AGE,num,1.285957281663356,1.284814±0.016503,0.9939905652570534,0.995524±0.015194,,,,,,,,
default,PAY_0,cat,,,,,0.6456666666666667,0.645406±0.008833,0.395394723427861,0.373789±0.043883,0.44833012686915497,0.404193±0.056227,0.38739595693449635,0.372206±0.048995
default,PAY_2,cat,,,,,0.766,0.766269±0.007536,0.6210254702727175,0.576892±0.056614,0.6381115041147339,0.603021±0.060572,0.6100402856627642,0.574002±0.058018
default,PAY_3,cat,,,,,0.77,0.770339±0.007431,0.6536022927420578,0.634258±0.065302,0.6882544037400531,0.660578±0.070300,0.6480986022046307,0.635700±0.062137
default,PAY_4,cat,,,,,0.7696666666666667,0.769594±0.007523,0.6515236036590223,0.642845±0.046156,0.6771050059571588,0.669537±0.051892,0.6427350013442654,0.645924±0.051785
default,PAY_5,cat,,,,,0.7746666666666666,0.775342±0.007603,0.5001064363800921,0.540818±0.065915,0.5056599891597146,0.557584±0.079106,0.49525632212067994,0.543334±0.063817
default,PAY_6,cat,,,,,0.7443333333333333,0.744343±0.007713,0.4002244577371775,0.405883±0.035015,0.3878623278970131,0.393772±0.039328,0.4513912444706254,0.443096±0.047509
default,BILL_AMT1,num,0.39575291344338137,0.394593±0.020532,0.17495911091435068,0.174715±0.006726,,,,,,,,
default,BILL_AMT2,num,0.25445669347723754,0.253086±0.016811,0.10069760483643894,0.100876±0.004223,,,,,,,,
default,BILL_AMT3,num,0.2402466125135791,0.239524±0.016801,0.09456846542077081,0.094513±0.003993,,,,,,,,
default,BILL_AMT4,num,0.22570643702004564,0.225181±0.017441,0.08945004404384883,0.089534±0.003682,,,,,,,,
default,BILL_AMT5,num,0.22532992269393148,0.225080±0.014656,0.08875945661658652,0.088817±0.003825,,,,,,,,
default,BILL_AMT6,num,0.26589464652044564,0.265345±0.018373,0.10035873513366562,0.100393±0.004554,,,,,,,,
default,PAY_AMT1,num,1.11180798127,1.103498±0.101822,0.33357215324571304,0.335857±0.020024,,,,,,,,
default,PAY_AMT2,num,0.7545986253231742,0.749373±0.060341,0.23103075201361112,0.230235±0.013238,,,,,,,,
default,PAY_AMT3,num,1.0511548134819746,1.046611±0.099485,0.3013739827897295,0.301182±0.019390,,,,,,,,
default,PAY_AMT4,num,1.008549885483641,1.000433±0.117472,0.28257504780210774,0.281820±0.019212,,,,,,,,
default,PAY_AMT5,num,1.0748368688224894,1.074249±0.109202,0.325444892321911,0.325626±0.018540,,,,,,,,
default,PAY_AMT6,num,1.5261681074068758,1.519546±0.149541,0.4067161769525575,0.405562±0.026649,,,,,,,,
default,default payment next month,cat,,,,,0.72,0.719291±0.007951,0.5847789178415885,0.584424±0.010024,0.5872479201060812,0.586781±0.011134,0.5828324586099578,0.581351±0.009427
