dataset,column,type,rmse,rmse_mean_std,mae,mae_mean_std,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std
shoppers,Administrative,num,0.9165017790655156,0.915057±0.038398,0.5079179440781593,0.506675±0.021401,,,,,,,,
shoppers,Administrative_Duration,num,1.429360455475398,1.438698±0.184481,0.4821591458124397,0.484194±0.038671,,,,,,,,
shoppers,Informational,num,0.9384478527951954,0.930490±0.100679,0.33608839509991123,0.336117±0.025466,,,,,,,,
shoppers,Informational_Duration,num,0.8949490679556722,0.892176±0.083997,0.2380719115460548,0.239844±0.025053,,,,,,,,
shoppers,ProductRelated,num,0.5282459531127054,0.526909±0.031247,0.30182209491100365,0.302022±0.013049,,,,,,,,
shoppers,ProductRelated_Duration,num,0.9850045493351163,0.975078±0.106749,0.501245155650147,0.502531±0.024151,,,,,,,,
shoppers,BounceRates,num,0.7326346088621036,0.733352±0.044410,0.32434204472789285,0.326508±0.018524,,,,,,,,
shoppers,ExitRates,num,0.5482998257072537,0.549620±0.020573,0.3635958255277928,0.364259±0.012315,,,,,,,,
shoppers,PageValues,num,0.9892244410096434,0.981733±0.061874,0.40140806596196127,0.403710±0.026465,,,,,,,,
shoppers,SpecialDay,num,1.222919314040302,1.216693±0.055322,0.43073074387268134,0.431969±0.032807,,,,,,,,
shoppers,Month,cat,,,,,0.27899432278994324,0.278129±0.011737,0.1655927562502821,0.164436±0.013334,0.1664714161266588,0.168203±0.012152,0.1651085340421141,0.165670±0.013718
shoppers,OperatingSystems,cat,,,,,0.5531224655312247,0.551303±0.014064,0.4080098116104212,0.385598±0.055257,0.4060756762341497,0.401936±0.056492,0.4412908758229994,0.391704±0.068753
shoppers,Browser,cat,,,,,0.6123276561232766,0.612785±0.013892,0.1947941509423212,0.199562±0.018722,0.2018563047410545,0.209507±0.022910,0.19028093505738444,0.199461±0.020542
shoppers,Region,cat,,,,,0.24087591240875914,0.240833±0.012763,0.13154563743359615,0.131039±0.010443,0.13019215046480323,0.129638±0.009597,0.13326344732109507,0.134282±0.010248
shoppers,TrafficType,cat,,,,,0.24168694241686942,0.242982±0.011849,0.0917897706897152,0.095092±0.009185,0.09317892054094207,0.097867±0.010385,0.09109925431237834,0.095645±0.009195
shoppers,VisitorType,cat,,,,,0.8256285482562855,0.825737±0.010475,0.5631450481492646,0.557340±0.049418,0.5897624496022665,0.596154±0.067000,0.5437304484747889,0.543978±0.054194
shoppers,Weekend,cat,,,,,0.6593673965936739,0.658235±0.013895,0.5231526839581293,0.522037±0.014425,0.5243589743589744,0.523628±0.015436,0.5227567621519114,0.523067±0.013856
shoppers,Revenue,cat,,,,,0.8532035685320357,0.852603±0.010509,0.7076549439407693,0.708753±0.017999,0.7053378994487504,0.703548±0.020786,0.7100722970752547,0.709167±0.020375
