dataset,column,type,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std,rmse,rmse_mean_std,mae,mae_mean_std
beijing,year,cat,0.2210249042145594,0.220726±0.006497,0.2203690660933698,0.220212±0.006332,0.2202827891964584,0.219873±0.006425,0.22071952309792486,0.220045±0.006323,,,,
beijing,month,cat,0.29238505747126436,0.292593±0.007232,0.2912025674671741,0.291312±0.006995,0.2948741102035694,0.294832±0.007384,0.28964391555804936,0.289490±0.006879,,,,
beijing,day,cat,0.03903256704980843,0.039167±0.003134,0.03487422466118676,0.034710±0.002767,0.04086583479736055,0.041053±0.004270,0.03874099186779729,0.038876±0.003006,,,,
beijing,hour,cat,0.0603448275862069,0.060245±0.003609,0.05749677682067907,0.057401±0.003604,0.06094682785726017,0.061075±0.004446,0.060850608012870754,0.061003±0.003831,,,,
beijing,pm2.5,num,,,,,,,,,0.967149974816151,0.966317±0.023062,0.6275029363251873,0.626513±0.011761
beijing,DEWP,num,,,,,,,,,0.3030407367112073,0.302981±0.005033,0.21798220401894974,0.217803±0.003154
beijing,TEMP,num,,,,,,,,,0.2716864777788008,0.271809±0.003532,0.20663110121281417,0.206583±0.002714
beijing,PRES,num,,,,,,,,,0.5599283166133249,0.559448±0.006608,0.42907784507930546,0.428873±0.005646
beijing,cbwd,cat,0.4976053639846743,0.497324±0.007645,0.4446077346654613,0.444341±0.007620,0.4452319908363187,0.444700±0.007071,0.44410534356413006,0.444106±0.007269,,,,
beijing,Iws,num,,,,,,,,,0.9803738222625067,0.978475±0.031329,0.4452901786873586,0.446353±0.014250
beijing,Is,num,,,,,,,,,0.6592425772168218,0.644871±0.143342,0.03792567302429205,0.036985±0.009934
beijing,Ir,num,,,,,,,,,0.7652141340983634,0.766613±0.052558,0.13613984710034674,0.136131±0.011862
