dataset,column,type,rmse,rmse_mean_std,mae,mae_mean_std,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std
shoppers,Administrative,num,0.7643484611975369,0.766122±0.036135,0.38615741876277443,0.385074±0.018737,,,,,,,,
shoppers,Administrative_Duration,num,1.5065066171821477,1.509256±0.166535,0.44440217419596817,0.440701±0.040155,,,,,,,,
shoppers,Informational,num,0.7618250985320988,0.759380±0.045276,0.2628886731843474,0.263435±0.020396,,,,,,,,
shoppers,Informational_Duration,num,0.917897306837208,0.908881±0.125345,0.2176995291082408,0.220398±0.026552,,,,,,,,
shoppers,ProductRelated,num,0.5877136626463547,0.581374±0.052441,0.3009690366371251,0.301515±0.014541,,,,,,,,
shoppers,ProductRelated_Duration,num,0.5927163977736281,0.589079±0.028431,0.3402793281276808,0.339777±0.015067,,,,,,,,
shoppers,BounceRates,num,0.6535319434614733,0.654079±0.044076,0.2855446139580094,0.285681±0.017654,,,,,,,,
shoppers,ExitRates,num,0.38799411872721656,0.388015±0.011756,0.26158235755177156,0.262314±0.008890,,,,,,,,
shoppers,PageValues,num,1.052646527179012,1.036096±0.145735,0.3286532268895958,0.330432±0.027837,,,,,,,,
shoppers,SpecialDay,num,1.094400026554149,1.090410±0.055137,0.346437067607956,0.343319±0.027826,,,,,,,,
shoppers,Month,cat,,,,,0.32927818329278186,0.329403±0.013095,0.1584305699863624,0.158382±0.009033,0.16101050202602007,0.161663±0.013052,0.1615641576385963,0.161328±0.008652
shoppers,OperatingSystems,cat,,,,,0.5977291159772912,0.596356±0.013923,0.33064531880744324,0.351687±0.036652,0.3829854935203845,0.407230±0.037927,0.30714762627357467,0.333268±0.038230
shoppers,Browser,cat,,,,,0.7023519870235199,0.703804±0.012505,0.26026723586753236,0.268804±0.019210,0.2707329081014938,0.279189±0.019068,0.252568064438689,0.263265±0.021588
shoppers,Region,cat,,,,,0.23195458231954583,0.231930±0.012354,0.12615573166806346,0.127023±0.009925,0.12489541123467306,0.124933±0.009942,0.12936234867582408,0.129091±0.010952
shoppers,TrafficType,cat,,,,,0.24249797242497972,0.242471±0.012966,0.10177988030837132,0.104821±0.010784,0.11734775647630649,0.119512±0.014136,0.10108281974810028,0.104095±0.010295
shoppers,VisitorType,cat,,,,,0.8337388483373885,0.833698±0.010483,0.5821514116127235,0.577948±0.056159,0.6512773199520188,0.643923±0.079994,0.5434461261608664,0.546455±0.051915
shoppers,Weekend,cat,,,,,0.6699107866991079,0.669227±0.013376,0.5417842647589219,0.540624±0.015145,0.5430801229201019,0.542087±0.015640,0.5409774998930603,0.542012±0.014836
shoppers,Revenue,cat,,,,,0.8645579886455799,0.864961±0.010173,0.7290306025095242,0.728613±0.016947,0.7274730502608714,0.726813±0.019127,0.7306271400252298,0.729211±0.019972
