dataset,column,type,rmse,rmse_mean_std,mae,mae_mean_std,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std
default,LIMIT_BAL,num,0.9611319375921547,0.960566±0.017960,0.6521793672462453,0.652107±0.013570,,,,,,,,
default,SEX,cat,,,,,0.528,0.527693±0.009030,0.5069408979061238,0.507448±0.008942,0.5069747905760735,0.506759±0.008492,0.5070433970689725,0.506198±0.008401
default,EDUCATION,cat,,,,,0.41933333333333334,0.419268±0.008457,0.1903505843750423,0.190248±0.004918,0.18910124410376924,0.188911±0.004366,0.19166808200779317,0.192004±0.004869
default,MARRIAGE,cat,,,,,0.5766666666666667,0.576832±0.009085,0.2890914564540708,0.290539±0.010422,0.2883803599953353,0.288373±0.007141,0.2898765201970841,0.290881±0.011312
default,AGE,num,1.1773666185237357,1.176573±0.018598,0.8860758252467756,0.885823±0.014004,,,,,,,,
default,PAY_0,cat,,,,,0.7506666666666667,0.750382±0.008418,0.5636989306327098,0.539889±0.046020,0.5524553228234921,0.539285±0.042453,0.5915215615760068,0.551377±0.048713
default,PAY_2,cat,,,,,0.917,0.917211±0.004850,0.6478994451084314,0.696767±0.070959,0.662133636485101,0.714713±0.073747,0.6563438732021577,0.704677±0.063917
default,PAY_3,cat,,,,,0.904,0.904314±0.005361,0.8121525069132585,0.798109±0.049397,0.846911223053832,0.842816±0.055603,0.7906683695206345,0.780101±0.053278
default,PAY_4,cat,,,,,0.9106666666666666,0.910972±0.005263,0.721490194747666,0.747702±0.062000,0.7935549764540087,0.819115±0.063324,0.6753733190530887,0.710665±0.065841
default,PAY_5,cat,,,,,0.914,0.914404±0.004765,0.7632023925594615,0.786430±0.059550,0.7595122471154367,0.788901±0.068749,0.7873164115535879,0.817398±0.055784
default,PAY_6,cat,,,,,0.88,0.880394±0.005550,0.5092908228037712,0.520616±0.048673,0.508491033356846,0.519970±0.054115,0.5358078615812922,0.538841±0.054578
default,BILL_AMT1,num,0.3352106499724663,0.335475±0.022598,0.1254329713699846,0.125313±0.005349,,,,,,,,
default,BILL_AMT2,num,0.19878823789674854,0.196656±0.015542,0.06870311399470973,0.068772±0.003340,,,,,,,,
default,BILL_AMT3,num,0.24909963835705887,0.245928±0.027364,0.07937478225108589,0.079237±0.004362,,,,,,,,
default,BILL_AMT4,num,0.20042713439433005,0.199823±0.012463,0.07504235315862781,0.075010±0.003497,,,,,,,,
default,BILL_AMT5,num,0.19205159956336412,0.190885±0.013622,0.0665236386133954,0.066426±0.003536,,,,,,,,
default,BILL_AMT6,num,0.2709154139440667,0.266805±0.037991,0.07613506271392159,0.075884±0.004639,,,,,,,,
default,PAY_AMT1,num,0.690621559159321,0.681047±0.107269,0.15813917089889343,0.159260±0.012193,,,,,,,,
default,PAY_AMT2,num,0.9373474097128748,0.815862±0.437294,0.10037946944827313,0.100828±0.017639,,,,,,,,
default,PAY_AMT3,num,0.6639603844835247,0.637572±0.177713,0.1229172157282917,0.122309±0.011774,,,,,,,,
default,PAY_AMT4,num,0.6126965754707061,0.592103±0.107744,0.13165560172963164,0.130604±0.010668,,,,,,,,
default,PAY_AMT5,num,0.4786839911045113,0.476211±0.061783,0.12329573275873729,0.122915±0.008568,,,,,,,,
default,PAY_AMT6,num,1.42480325181846,1.403831±0.133649,0.3474765971452421,0.346832±0.026101,,,,,,,,
default,default payment next month,cat,,,,,0.695,0.694523±0.008621,0.5509862843894207,0.550885±0.009205,0.5520391401852212,0.551027±0.009927,0.5501641592405683,0.549578±0.009984
