dataset,column,type,rmse,rmse_mean_std,mae,mae_mean_std,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std
magic,Length,num,0.3317452786429947,0.331261±0.012038,0.1955681110054516,0.194910±0.006487,,,,,,,,
magic,Width,num,0.6291435527099248,0.628198±0.073345,0.26274418820876483,0.262396±0.013410,,,,,,,,
magic,Size,num,0.4105199765608,0.410914±0.007497,0.31579492239084583,0.315935±0.005649,,,,,,,,
magic,Conc,num,0.1929169792842075,0.193002±0.004765,0.13903373535566302,0.139239±0.002912,,,,,,,,
magic,Conc1,num,0.2833430684483517,0.283096±0.007321,0.20385309788267414,0.203831±0.004885,,,,,,,,
magic,Asym,num,1.217162908557416,1.213930±0.050483,0.7127608190406589,0.709745±0.021677,,,,,,,,
magic,M3Long,num,1.1188126036580173,1.118022±0.043511,0.6043862280580802,0.601491±0.021234,,,,,,,,
magic,M3Trans,num,1.2204230512481418,1.214785±0.046156,0.7755955731858587,0.773701±0.022534,,,,,,,,
magic,Alpha,num,1.0055489644757765,1.005675±0.019024,0.7203967982513597,0.721846±0.016292,,,,,,,,
magic,Dist,num,0.9932875457033026,0.992810±0.018551,0.764559415112596,0.765670±0.014819,,,,,,,,
magic,class,cat,,,,,0.7381703470031545,0.737983±0.010451,0.7079313981239941,0.705952±0.010372,0.7137799178586602,0.714263±0.011196,0.7039923936021313,0.704637±0.010791
