dataset,column,type,rmse,rmse_mean_std,mae,mae_mean_std,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std
adult,age,num,0.9459362779658335,0.946186±0.006400,0.7066398442122809,0.706759±0.004973,,,,,,,,
adult,workclass,cat,,,,,0.5985602094240837,0.598708±0.003797,0.1552738686121922,0.163876±0.011551,0.15688093476549472,0.166149±0.011603,0.15426226760527156,0.163212±0.011135
adult,fnlwgt,num,1.111030213674239,1.111230±0.011310,0.8272778888145891,0.826822±0.005877,,,,,,,,
adult,education,cat,,,,,0.7387752595049444,0.738813±0.003386,0.5520019684876484,0.551666±0.005162,0.5745037712032284,0.574576±0.005762,0.5459214577975147,0.546421±0.005704
adult,education.num,num,0.5457527142889491,0.545803±0.012578,0.10497249496207017,0.105032±0.004005,,,,,,,,
adult,marital.status,cat,,,,,0.7481727166635956,0.748391±0.003442,0.35956359416569583,0.359288±0.010441,0.3665255590498105,0.366338±0.009689,0.3592558475430266,0.358509±0.010979
adult,occupation,cat,,,,,0.21096963761018608,0.210508±0.003141,0.15984612942822365,0.159697±0.003789,0.16587856830391876,0.166097±0.005163,0.15740012202214868,0.157254±0.003409
adult,relationship,cat,,,,,0.7034580185492292,0.703233±0.003645,0.5581000680765388,0.558168±0.003870,0.5679245131462413,0.567541±0.004034,0.5497626130119201,0.549571±0.004291
adult,race,cat,,,,,0.779251888704625,0.779070±0.003210,0.27367527912261047,0.274098±0.005787,0.2780340688226485,0.277992±0.006424,0.270080986986026,0.269864±0.005311
adult,sex,cat,,,,,0.7545605306799337,0.754538±0.003414,0.7168003285416711,0.716480±0.003613,0.7234587942228871,0.723613±0.003803,0.7120407796160012,0.712217±0.003870
adult,capital.gain,num,1.3159799439439857,1.320977±0.047344,0.23387601138035238,0.234716±0.009442,,,,,,,,
adult,capital.loss,num,1.2419688831321354,1.243304±0.018858,0.3260209088304152,0.327849±0.008922,,,,,,,,
adult,hours.per.week,num,1.121518877962153,1.120858±0.009974,0.7484217311363421,0.748389±0.006705,,,,,,,,
adult,native.country,cat,,,,,0.8736654804270463,0.873360±0.002696,0.04021620525241286,0.039803±0.002930,0.048971552310478485,0.049012±0.005374,0.03692061428173722,0.036920±0.002536
adult,income,cat,,,,,0.7729869172655243,0.773159±0.003334,0.6796832391715191,0.679850±0.004550,0.6832195245222412,0.683096±0.004659,0.6765541815882528,0.676960±0.004195
