dataset,column,type,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std,rmse,rmse_mean_std,mae,mae_mean_std
beijing,year,cat,0.2246168582375479,0.225088±0.006482,0.2245037407436607,0.224129±0.006731,0.22513393593661846,0.225374±0.006408,0.22481339251373317,0.224726±0.006577,,,,
beijing,month,cat,0.2717911877394636,0.271980±0.006854,0.26894637957297285,0.268692±0.006733,0.2709897436395706,0.271190±0.006604,0.26954046789333413,0.269589±0.006700,,,,
beijing,day,cat,0.05818965517241379,0.057915±0.003934,0.059388652605250426,0.058915±0.003754,0.061761538687298945,0.061422±0.003918,0.059151789760647444,0.059002±0.003273,,,,
beijing,hour,cat,0.06704980842911877,0.067282±0.003844,0.06683954736226129,0.066534±0.004051,0.0682131634871234,0.068122±0.004057,0.0678933006839318,0.068139±0.003567,,,,
beijing,pm2.5,num,,,,,,,,,0.6531894497720119,0.651159±0.021240,0.39153097435166806,0.390911±0.008576
beijing,DEWP,num,,,,,,,,,0.1605938931549426,0.160450±0.003492,0.11138777391514496,0.111538±0.001712
beijing,TEMP,num,,,,,,,,,0.16132535194835737,0.161358±0.002387,0.11892017811861343,0.118911±0.001665
beijing,PRES,num,,,,,,,,,0.21639319211050617,0.216048±0.006005,0.14527929008486942,0.145262±0.002516
beijing,cbwd,cat,0.4418103448275862,0.441477±0.006873,0.3966238494888473,0.397317±0.007557,0.40295090670131534,0.403146±0.007528,0.39293370082752904,0.392701±0.007131,,,,
beijing,Iws,num,,,,,,,,,0.6481485503901047,0.644857±0.033333,0.28208945994693707,0.282105±0.009142
beijing,Is,num,,,,,,,,,0.6825769921695767,0.670367±0.139048,0.04227041219464273,0.041169±0.010381
beijing,Ir,num,,,,,,,,,0.9124379517687385,0.911542±0.064324,0.16174822408901648,0.161998±0.013385
