dataset,column,type,rmse,rmse_mean_std,mae,mae_mean_std,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std
adult,age,num,0.9850284679047483,0.984859±0.006742,0.7348275808069025,0.734785±0.005239,,,,,,,,
adult,workclass,cat,,,,,0.6263128800442234,0.626469±0.003810,0.23798532885127224,0.239103±0.006814,0.24899398258564176,0.250445±0.007042,0.2294421867106273,0.231071±0.006966
adult,fnlwgt,num,1.3060613191079915,1.306503±0.013316,0.9771085684222369,0.976703±0.006692,,,,,,,,
adult,education,cat,,,,,0.7047478656102205,0.704618±0.003497,0.48890337952516205,0.488389±0.006684,0.5266918038864288,0.526741±0.007457,0.4830219357219835,0.483143±0.006547
adult,education.num,num,0.49808499733901973,0.497883±0.008982,0.11133350016051402,0.111550±0.003901,,,,,,,,
adult,marital.status,cat,,,,,0.7552975861433573,0.754966±0.003408,0.3631275217301977,0.363075±0.004492,0.36839681832935894,0.368612±0.005511,0.36061745020075814,0.360662±0.004632
adult,occupation,cat,,,,,0.24507094158835452,0.245013±0.003095,0.20170093270028103,0.201644±0.002996,0.20542159614834976,0.205465±0.003788,0.19960052160888445,0.199876±0.002895
adult,relationship,cat,,,,,0.7036422824150851,0.703898±0.003802,0.566707739675704,0.566622±0.003864,0.567753144055715,0.567507±0.003718,0.5661297398123531,0.566248±0.003628
adult,race,cat,,,,,0.7887721884405134,0.788718±0.003029,0.2812322605280501,0.281363±0.006635,0.29159010583236544,0.292144±0.007480,0.273718074425758,0.273694±0.005704
adult,sex,cat,,,,,0.7906148270990725,0.790458±0.003249,0.7637962144573269,0.763739±0.003506,0.7643836261707015,0.764238±0.003509,0.7632257050288371,0.763297±0.003805
adult,capital.gain,num,1.0281305616062795,1.028554±0.050005,0.1630511532282802,0.163546±0.007671,,,,,,,,
adult,capital.loss,num,1.2037321275866502,1.203989±0.019115,0.3096301577855484,0.310496±0.008570,,,,,,,,
adult,hours.per.week,num,1.1073884961808915,1.107512±0.009435,0.7317170733308,0.731326±0.006857,,,,,,,,
adult,native.country,cat,,,,,0.8446655610834716,0.844814±0.002876,0.04278622623949279,0.042727±0.002566,0.051006879364228055,0.050362±0.004839,0.03993727316638129,0.039955±0.002089
adult,income,cat,,,,,0.793747312818623,0.793986±0.003236,0.7128654070858146,0.712764±0.003981,0.7138850340041571,0.713814±0.003830,0.7118755124149477,0.711838±0.004257
