dataset,column,type,rmse,rmse_mean_std,mae,mae_mean_std,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std
default,LIMIT_BAL,num,0.9956602452364968,0.995906±0.015408,0.7768645440220785,0.775240±0.011180,,,,,,,,
default,SEX,cat,,,,,0.522,0.521312±0.008648,0.499947693273355,0.499667±0.008986,0.4999812342837126,0.499507±0.009189,0.4999811018860318,0.500886±0.009287
default,EDUCATION,cat,,,,,0.414,0.413767±0.008742,0.2050642423746499,0.204207±0.009983,0.2042597053227333,0.203246±0.009071,0.20607721730942338,0.205074±0.010205
default,MARRIAGE,cat,,,,,0.593,0.593203±0.008569,0.3240766819372526,0.324811±0.020912,0.3452472442167365,0.346923±0.033693,0.3165902268557765,0.317853±0.018696
default,AGE,num,1.020717333688738,1.019274±0.014356,0.8107815504412592,0.811357±0.011471,,,,,,,,
default,PAY_0,cat,,,,,0.7646666666666667,0.764829±0.006900,0.40877699927705174,0.447150±0.036411,0.4126205747310911,0.448233±0.039290,0.40679563883993347,0.447192±0.035061
default,PAY_2,cat,,,,,0.8843333333333333,0.884984±0.005959,0.5682725278741235,0.628592±0.068028,0.6205850860453265,0.680891±0.076001,0.5584818260845134,0.620295±0.062228
default,PAY_3,cat,,,,,0.9053333333333333,0.905298±0.005501,0.8092688163435524,0.791952±0.052584,0.8434741784454092,0.830208±0.056332,0.7850927332070416,0.777409±0.055735
default,PAY_4,cat,,,,,0.895,0.895623±0.005499,0.8367030282363177,0.829210±0.035921,0.8721748430099636,0.868196±0.036286,0.8086301516073227,0.810246±0.041169
default,PAY_5,cat,,,,,0.89,0.890031±0.005657,0.6878923667549057,0.748673±0.066887,0.7059082266679625,0.776255±0.071618,0.6737246422733798,0.742356±0.068153
default,PAY_6,cat,,,,,0.8246666666666667,0.824498±0.006979,0.4577367188229426,0.474542±0.050993,0.43650551592736503,0.454669±0.054614,0.5080134333337392,0.514125±0.057470
default,BILL_AMT1,num,1.0779614021887267,1.077862±0.030526,0.6171628339867075,0.616692±0.016026,,,,,,,,
default,BILL_AMT2,num,1.068144393830678,1.067176±0.029335,0.6126057461656651,0.612919±0.016050,,,,,,,,
default,BILL_AMT3,num,1.0519130699233057,1.051766±0.030968,0.603366895756975,0.603660±0.015468,,,,,,,,
default,BILL_AMT4,num,1.0510041065809324,1.051698±0.030909,0.5985356383399634,0.599102±0.016003,,,,,,,,
default,BILL_AMT5,num,1.040073073394729,1.039949±0.029778,0.593286812352233,0.593674±0.015817,,,,,,,,
default,BILL_AMT6,num,1.0363185755251487,1.036900±0.029823,0.5890886331235239,0.589576±0.015829,,,,,,,,
default,PAY_AMT1,num,1.094133472901459,1.085111±0.111285,0.33079637541129653,0.333022±0.018826,,,,,,,,
default,PAY_AMT2,num,0.7715422712718547,0.767280±0.069897,0.2323070748804239,0.231871±0.013133,,,,,,,,
default,PAY_AMT3,num,1.0374764006450896,1.032973±0.110170,0.30458445807787204,0.304204±0.018388,,,,,,,,
default,PAY_AMT4,num,0.8527428559583671,0.843433±0.077555,0.2857980240288815,0.283920±0.015141,,,,,,,,
default,PAY_AMT5,num,1.03959965276265,1.036929±0.115091,0.31573397013790594,0.315573±0.017532,,,,,,,,
default,PAY_AMT6,num,1.2311328971232631,1.221988±0.131046,0.31150081571888133,0.311003±0.022534,,,,,,,,
default,default payment next month,cat,,,,,0.713,0.712634±0.007318,0.5870075088526372,0.586126±0.010508,0.586602114289788,0.587077±0.009858,0.587432066221497,0.587204±0.010597
