dataset,column,type,rmse,rmse_mean_std,mae,mae_mean_std,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std
default,LIMIT_BAL,num,1.0070525145217262,1.006400±0.018456,0.6946266235693159,0.693228±0.013337,,,,,,,,
default,SEX,cat,,,,,0.522,0.521312±0.008648,0.499947693273355,0.499667±0.008986,0.4999812342837126,0.499507±0.009189,0.4999811018860318,0.500886±0.009287
default,EDUCATION,cat,,,,,0.414,0.413767±0.008742,0.2050642423746499,0.204207±0.009983,0.2042597053227333,0.203246±0.009071,0.20607721730942338,0.205074±0.010205
default,MARRIAGE,cat,,,,,0.593,0.593203±0.008569,0.3240766819372526,0.324811±0.020912,0.3452472442167365,0.346923±0.033693,0.3165902268557765,0.317853±0.018696
default,AGE,num,1.1668259113653774,1.165710±0.017995,0.8704998363227887,0.870968±0.013685,,,,,,,,
default,PAY_0,cat,,,,,0.7646666666666667,0.764829±0.006900,0.40877699927705174,0.447150±0.036411,0.4126205747310911,0.448233±0.039290,0.40679563883993347,0.447192±0.035061
default,PAY_2,cat,,,,,0.8843333333333333,0.884984±0.005959,0.5682725278741235,0.628592±0.068028,0.6205850860453265,0.680891±0.076001,0.5584818260845134,0.620295±0.062228
default,PAY_3,cat,,,,,0.9053333333333333,0.905298±0.005501,0.8092688163435524,0.791952±0.052584,0.8434741784454092,0.830208±0.056332,0.7850927332070416,0.777409±0.055735
default,PAY_4,cat,,,,,0.895,0.895623±0.005499,0.8367030282363177,0.829210±0.035921,0.8721748430099636,0.868196±0.036286,0.8086301516073227,0.810246±0.041169
default,PAY_5,cat,,,,,0.89,0.890031±0.005657,0.6878923667549057,0.748673±0.066887,0.7059082266679625,0.776255±0.071618,0.6737246422733798,0.742356±0.068153
default,PAY_6,cat,,,,,0.8246666666666667,0.824498±0.006979,0.4577367188229426,0.474542±0.050993,0.43650551592736503,0.454669±0.054614,0.5080134333337392,0.514125±0.057470
default,BILL_AMT1,num,0.3894834986640182,0.384410±0.045003,0.1341461099658154,0.134116±0.006540,,,,,,,,
default,BILL_AMT2,num,0.2142833670161105,0.213557±0.017195,0.08044803374724094,0.080518±0.003550,,,,,,,,
default,BILL_AMT3,num,0.21381105987093943,0.211941±0.017988,0.07814862111116383,0.078139±0.003582,,,,,,,,
default,BILL_AMT4,num,0.2409145664477817,0.235699±0.042255,0.07756292257203606,0.077453±0.003901,,,,,,,,
default,BILL_AMT5,num,0.21069874057996607,0.210626±0.016370,0.07326488293609915,0.073258±0.003749,,,,,,,,
default,BILL_AMT6,num,0.28675357864016443,0.284776±0.039438,0.08089609510178197,0.080751±0.004523,,,,,,,,
default,PAY_AMT1,num,0.8689717451799066,0.854044±0.197415,0.14508362594311616,0.146681±0.016089,,,,,,,,
default,PAY_AMT2,num,1.2716203460233846,1.194288±0.385349,0.12472019056581844,0.124938±0.023083,,,,,,,,
default,PAY_AMT3,num,0.7774236471978392,0.771501±0.139793,0.14537830523995754,0.145595±0.013996,,,,,,,,
default,PAY_AMT4,num,0.4677268100562629,0.453307±0.079175,0.13410759822756715,0.133227±0.008243,,,,,,,,
default,PAY_AMT5,num,0.8760542545078361,0.857536±0.204981,0.14616277189997007,0.147006±0.015509,,,,,,,,
default,PAY_AMT6,num,1.3969492602082303,1.399713±0.135517,0.3349051274929608,0.332806±0.025307,,,,,,,,
default,default payment next month,cat,,,,,0.713,0.712634±0.007318,0.5870075088526372,0.586126±0.010508,0.586602114289788,0.587077±0.009858,0.587432066221497,0.587204±0.010597
