dataset,column,type,rmse,rmse_mean_std,mae,mae_mean_std,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std
magic,Length,num,0.3184566116647597,0.318114±0.012077,0.18742253409691415,0.186560±0.005737,,,,,,,,
magic,Width,num,0.43418333745134763,0.433517±0.060228,0.21282713442571907,0.212844±0.008783,,,,,,,,
magic,Size,num,0.3955212594144999,0.395476±0.007635,0.30423605516204977,0.303942±0.005696,,,,,,,,
magic,Conc,num,0.17747156323259697,0.177332±0.004688,0.12631323415861606,0.126386±0.002862,,,,,,,,
magic,Conc1,num,0.2951907728853548,0.294598±0.009220,0.19449416902565833,0.194561±0.005140,,,,,,,,
magic,Asym,num,1.2826667165366854,1.282827±0.073073,0.7049160293825174,0.702814±0.025144,,,,,,,,
magic,M3Long,num,1.0626396997731207,1.063594±0.045908,0.5783237144454897,0.575844±0.019775,,,,,,,,
magic,M3Trans,num,1.3629824276072253,1.357631±0.066149,0.8191008111544141,0.818462±0.024400,,,,,,,,
magic,Alpha,num,1.0834312194487588,1.083941±0.020710,0.766237606305572,0.766958±0.016392,,,,,,,,
magic,Dist,num,1.0341356207019112,1.033489±0.020483,0.7867137260919429,0.787477±0.015211,,,,,,,,
magic,class,cat,,,,,0.7255520504731862,0.725622±0.011503,0.6980519006559356,0.696125±0.011195,0.6998490797546012,0.700223±0.011316,0.6965271677751286,0.697310±0.010692
