dataset,column,type,rmse,rmse_mean_std,mae,mae_mean_std,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std
shoppers,Administrative,num,0.8447199782835063,0.844420±0.039046,0.4349455301593375,0.434239±0.020803,,,,,,,,
shoppers,Administrative_Duration,num,1.155971747583128,1.145816±0.139719,0.37473800436378035,0.373140±0.032297,,,,,,,,
shoppers,Informational,num,0.7950667473362131,0.791986±0.051094,0.2704217729272956,0.270908±0.021348,,,,,,,,
shoppers,Informational_Duration,num,0.8299847319772071,0.824686±0.087945,0.20771890277243293,0.210728±0.024422,,,,,,,,
shoppers,ProductRelated,num,0.5607769666321258,0.556392±0.033313,0.309136837608375,0.309192±0.013895,,,,,,,,
shoppers,ProductRelated_Duration,num,0.5762281513750864,0.573696±0.025364,0.3277051255557038,0.327673±0.013824,,,,,,,,
shoppers,BounceRates,num,0.5265547691191382,0.527184±0.037602,0.23083484059037393,0.231160±0.014146,,,,,,,,
shoppers,ExitRates,num,0.43712635136803124,0.436723±0.014889,0.29233713171800485,0.292714±0.010015,,,,,,,,
shoppers,PageValues,num,1.1546529746438114,1.126179±0.174753,0.31388116818935824,0.313809±0.031754,,,,,,,,
shoppers,SpecialDay,num,1.110055462093292,1.106319±0.055327,0.3541559348562275,0.351395±0.027816,,,,,,,,
shoppers,Month,cat,,,,,0.33901054339010545,0.338740±0.013363,0.16369842689265218,0.163297±0.008813,0.16172534441479694,0.162052±0.010389,0.16707915302578702,0.166779±0.008792
shoppers,OperatingSystems,cat,,,,,0.6171938361719383,0.616477±0.013921,0.3393483074330111,0.347771±0.032120,0.38838148275919765,0.395345±0.042239,0.3164030720951669,0.328409±0.035379
shoppers,Browser,cat,,,,,0.7007299270072993,0.701763±0.012649,0.24801074073684173,0.256400±0.019987,0.2722938090561341,0.280251±0.026252,0.23589476990610336,0.245569±0.021499
shoppers,Region,cat,,,,,0.23763179237631793,0.237759±0.012389,0.1353611160730973,0.135832±0.010721,0.14858920445634097,0.147889±0.017991,0.1349839627475439,0.135202±0.011610
shoppers,TrafficType,cat,,,,,0.26034063260340634,0.260952±0.012961,0.11268368791224385,0.115840±0.011437,0.13385112783050412,0.136723±0.016669,0.10980087844419657,0.113374±0.010540
shoppers,VisitorType,cat,,,,,0.8167072181670721,0.816913±0.010947,0.403894960785939,0.403862±0.012393,0.4050194931773879,0.405348±0.014391,0.40313830359475616,0.403322±0.013228
shoppers,Weekend,cat,,,,,0.6690997566909975,0.669294±0.013650,0.5175871301332556,0.517772±0.014746,0.5210606009904966,0.520126±0.015942,0.5179480415781443,0.519388±0.012953
shoppers,Revenue,cat,,,,,0.8491484184914841,0.848643±0.010506,0.694688215559934,0.694432±0.017306,0.6956054185927067,0.696867±0.018722,0.6937869038406497,0.694371±0.019058
