dataset,column,type,rmse,rmse_mean_std,mae,mae_mean_std,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std
adult,age,num,0.978454344292064,0.978332±0.006535,0.7281097741451997,0.728044±0.005561,,,,,,,,
adult,workclass,cat,,,,,0.5987593215864845,0.598733±0.003892,0.16379710278329285,0.167326±0.009148,0.164923190956945,0.167330±0.007848,0.16298351396043026,0.165539±0.008217
adult,fnlwgt,num,1.3521527924839234,1.353298±0.013629,1.0100391914754088,1.009663±0.007112,,,,,,,,
adult,education,cat,,,,,0.5959093421779988,0.595875±0.003567,0.4104666148588736,0.410223±0.005883,0.43525711254474897,0.435371±0.007103,0.414450862723677,0.414282±0.005536
adult,education.num,num,0.42631321945360295,0.426410±0.010096,0.07338198874509383,0.073554±0.003458,,,,,,,,
adult,marital.status,cat,,,,,0.7670290522695166,0.767048±0.003290,0.3661491547027467,0.366060±0.004373,0.37239200999454736,0.372543±0.004284,0.3631668579220263,0.363235±0.005057
adult,occupation,cat,,,,,0.2117531831537708,0.211601±0.003216,0.15242807446307408,0.152353±0.003154,0.16047957166766055,0.160657±0.008376,0.1512982382892405,0.151629±0.003122
adult,relationship,cat,,,,,0.6855844235612063,0.685788±0.003604,0.5452033930978138,0.545359±0.004042,0.5550234152130838,0.554814±0.003812,0.5369808300758584,0.537229±0.004284
adult,race,cat,,,,,0.7938701553958603,0.793821±0.003397,0.29092718428429765,0.290741±0.006755,0.30472647043877055,0.305028±0.008744,0.2813173064020825,0.281307±0.006035
adult,sex,cat,,,,,0.7802960506111418,0.780632±0.003134,0.7493093583125434,0.749086±0.003421,0.7531277908453982,0.753090±0.003442,0.7461136403244595,0.746458±0.003758
adult,capital.gain,num,1.1843929936573965,1.183114±0.049003,0.21316043789646313,0.213477±0.008926,,,,,,,,
adult,capital.loss,num,1.320188906210138,1.320312±0.018619,0.3661819851358084,0.367394±0.009625,,,,,,,,
adult,hours.per.week,num,1.182302442044704,1.182197±0.009604,0.793685976591357,0.793826±0.006880,,,,,,,,
adult,native.country,cat,,,,,0.8832279895294644,0.883237±0.002643,0.047192205373567955,0.047066±0.003615,0.058448819841325717,0.058299±0.006298,0.04291821706447375,0.043004±0.002997
adult,income,cat,,,,,0.7847183833916835,0.784710±0.003362,0.6944869545123484,0.694316±0.004268,0.6996368685846238,0.699925±0.004262,0.6900708645957419,0.689934±0.004077
