dataset,column,type,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std,rmse,rmse_mean_std,mae,mae_mean_std
beijing,year,cat,0.22270114942528735,0.222226±0.006342,0.22266169293398214,0.222475±0.006669,0.2227991230744431,0.222876±0.006694,0.22259989929540627,0.222526±0.006192,,,,
beijing,month,cat,0.3136973180076628,0.312980±0.006946,0.3122778436625155,0.312462±0.006711,0.3204167107396972,0.320823±0.007254,0.3140107924719931,0.314721±0.007602,,,,
beijing,day,cat,0.037835249042145594,0.037812±0.003113,0.0332255324847171,0.033355±0.002771,0.035008030026888695,0.035103±0.003405,0.03778401699552346,0.037834±0.002921,,,,
beijing,hour,cat,0.05459770114942529,0.054472±0.003748,0.0467959147598108,0.046493±0.003188,0.046645402329473194,0.046711±0.003668,0.05352187991217457,0.053739±0.003398,,,,
beijing,pm2.5,num,,,,,,,,,0.8293138912190055,0.829823±0.017669,0.5420704339587674,0.541556±0.009989
beijing,DEWP,num,,,,,,,,,0.001329269441032566,0.001288±0.000401,5.005015313211465e-05,0.000050±0.000023
beijing,TEMP,num,,,,,,,,,0.00041415359070789916,0.000395±0.000103,1.804212205562326e-05,0.000018±0.000006
beijing,PRES,num,,,,,,,,,0.0002575254577241193,0.000254±0.000072,1.0086510726288036e-05,0.000009±0.000004
beijing,cbwd,cat,0.4513888888888889,0.451833±0.007157,0.39137500056429186,0.391036±0.007556,0.3940058154354568,0.394010±0.008081,0.3918323656638135,0.391024±0.007931,,,,
beijing,Iws,num,,,,,,,,,0.00928242311031398,0.009253±0.000608,0.002811023614017722,0.002811±0.000138
beijing,Is,num,,,,,,,,,0.040658388594810004,0.039819±0.006855,0.0024813506609228015,0.002414±0.000618
beijing,Ir,num,,,,,,,,,0.01891189623729215,0.018948±0.002966,0.0012365251595769467,0.001231±0.000289
