dataset,column,type,rmse,rmse_mean_std,mae,mae_mean_std,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std
magic,Length,num,0.32435393734687973,0.324691±0.012211,0.19189800351111028,0.191140±0.006130,,,,,,,,
magic,Width,num,0.4618180181774372,0.461438±0.060121,0.2285003524859995,0.228555±0.009594,,,,,,,,
magic,Size,num,0.4092888351646398,0.410482±0.007958,0.3169104286989553,0.316977±0.006168,,,,,,,,
magic,Conc,num,0.16686346363829863,0.166672±0.004757,0.11891301942027298,0.119150±0.002562,,,,,,,,
magic,Conc1,num,0.3191442388375552,0.318607±0.008048,0.22215337161472581,0.222556±0.005454,,,,,,,,
magic,Asym,num,1.2288592373858367,1.228566±0.067034,0.6817253369992363,0.680369±0.022773,,,,,,,,
magic,M3Long,num,1.133759440320247,1.133380±0.040665,0.6313511051583884,0.629217±0.022174,,,,,,,,
magic,M3Trans,num,1.5693871679015847,1.562954±0.081304,0.8948400748533963,0.891864±0.029678,,,,,,,,
magic,Alpha,num,1.067111623221134,1.066822±0.022091,0.7576762654116057,0.758033±0.015863,,,,,,,,
magic,Dist,num,1.019330045267984,1.020445±0.018744,0.7752673122403901,0.776235±0.015216,,,,,,,,
magic,class,cat,,,,,0.5977917981072555,0.597240±0.011463,0.5724567947849619,0.571241±0.011480,0.5720240444527804,0.571105±0.011616,0.575524629091576,0.576460±0.011316
