dataset,column,type,rmse,rmse_mean_std,mae,mae_mean_std,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std
shoppers,Administrative,num,0.753936479973002,0.751743±0.037275,0.38241256152998543,0.380896±0.019383,,,,,,,,
shoppers,Administrative_Duration,num,0.9754464597897503,0.972050±0.087997,0.3799766309464979,0.379877±0.026816,,,,,,,,
shoppers,Informational,num,0.8016965503341115,0.803254±0.043458,0.33429831490559175,0.334813±0.020892,,,,,,,,
shoppers,Informational_Duration,num,0.8742654197743028,0.869938±0.097314,0.2147573684941359,0.216388±0.024846,,,,,,,,
shoppers,ProductRelated,num,0.6417740949324997,0.632925±0.058453,0.3252726808964747,0.325651±0.016637,,,,,,,,
shoppers,ProductRelated_Duration,num,0.5152829180744102,0.513431±0.023190,0.3016714080878724,0.301210±0.012868,,,,,,,,
shoppers,BounceRates,num,0.5488299076080074,0.548028±0.040082,0.23674087696910326,0.236601±0.013858,,,,,,,,
shoppers,ExitRates,num,0.36383366506316567,0.363821±0.012124,0.25015674908813385,0.250097±0.007141,,,,,,,,
shoppers,PageValues,num,0.7635872656428746,0.761450±0.051774,0.27609823773432296,0.276944±0.019266,,,,,,,,
shoppers,SpecialDay,num,1.088478103012962,1.083269±0.053479,0.3820843970472524,0.382078±0.026009,,,,,,,,
shoppers,Month,cat,,,,,0.31305758313057586,0.311636±0.013764,0.15343031310897287,0.152426±0.008920,0.15261332526676336,0.153344±0.009511,0.15508046495853417,0.154450±0.008636
shoppers,OperatingSystems,cat,,,,,0.610705596107056,0.609308±0.013062,0.3586327423481958,0.381994±0.038809,0.4116540594355846,0.438422±0.039630,0.33368777231137725,0.362581±0.040595
shoppers,Browser,cat,,,,,0.5977291159772912,0.597534±0.013680,0.20829520836340867,0.210413±0.013251,0.22890417013987696,0.230169±0.012454,0.19388855351577644,0.197387±0.015292
shoppers,Region,cat,,,,,0.24249797242497972,0.241795±0.012554,0.13732605792605937,0.137834±0.010593,0.13515544673378624,0.135067±0.009863,0.14170339566247464,0.142116±0.010517
shoppers,TrafficType,cat,,,,,0.27899432278994324,0.279300±0.012643,0.10815683521875999,0.112464±0.010568,0.11041729328168158,0.115460±0.011339,0.10762037584999748,0.112019±0.010110
shoppers,VisitorType,cat,,,,,0.8450932684509327,0.845201±0.010153,0.6864507464228525,0.686383±0.038043,0.7700495520594716,0.767891±0.030588,0.6326684941535787,0.633968±0.053057
shoppers,Weekend,cat,,,,,0.67558799675588,0.675028±0.013775,0.5480470353644947,0.546816±0.015329,0.5497711584067188,0.546950±0.016549,0.5469821624627493,0.548409±0.014844
shoppers,Revenue,cat,,,,,0.8450932684509327,0.845758±0.010835,0.6717604704288523,0.670715±0.018755,0.6817103326464528,0.682762±0.021013,0.6635880338799783,0.663178±0.020546
