dataset,column,type,rmse,rmse_mean_std,mae,mae_mean_std,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std
adult,age,num,0.9879549424504421,0.987893±0.006412,0.7434329471638127,0.743538±0.005347,,,,,,,,
adult,workclass,cat,,,,,0.5794484368282047,0.579879±0.004115,0.20360509306919256,0.203730±0.003513,0.20531452014902965,0.205153±0.003338,0.20208882684453494,0.202307±0.003531
adult,fnlwgt,num,1.4014791130697046,1.401850±0.012271,1.0565858028881954,1.056115±0.007542,,,,,,,,
adult,education,cat,,,,,0.565075855291444,0.564918±0.003846,0.4681265756863764,0.467890±0.007956,0.4734758781816435,0.473257±0.009049,0.46636006467408375,0.466264±0.008759
adult,education.num,num,0.20096004287268035,0.201078±0.005303,0.05458696567511068,0.054624±0.001559,,,,,,,,
adult,marital.status,cat,,,,,0.5940052822308212,0.594031±0.003766,0.2682814284566976,0.268171±0.003588,0.26918353193698386,0.269482±0.003588,0.2675587321862766,0.267518±0.003101
adult,occupation,cat,,,,,0.1993120815674713,0.199190±0.003145,0.16819996891355363,0.166756±0.010844,0.17076353676408773,0.169892±0.012839,0.1660867065498787,0.166794±0.011901
adult,relationship,cat,,,,,0.5257662305755175,0.526050±0.003758,0.3841795708317208,0.383687±0.004352,0.3840049848812455,0.383555±0.004392,0.38451746206224385,0.384227±0.004222
adult,race,cat,,,,,0.7803574718997605,0.780278±0.003049,0.2830090616469555,0.283257±0.005827,0.28411525887685496,0.284400±0.007430,0.28228248100790443,0.281916±0.005936
adult,sex,cat,,,,,0.7124255266875499,0.711996±0.003510,0.6759094085588481,0.675803±0.004139,0.6761241492205768,0.675932±0.003992,0.675699066755945,0.675893±0.004223
adult,capital.gain,num,1.178653641968893,1.177258±0.050582,0.2127131885370406,0.214112±0.009373,,,,,,,,
adult,capital.loss,num,1.3624528221381143,1.364829±0.018899,0.38986856072648857,0.391126±0.010196,,,,,,,,
adult,hours.per.week,num,1.279533669844206,1.279110±0.010926,0.8746997267925534,0.874952±0.007409,,,,,,,,
adult,native.country,cat,,,,,0.8359437380996253,0.836154±0.002692,0.052571342935483545,0.050976±0.006933,0.06319953026743907,0.060389±0.012612,0.04964850967909934,0.049296±0.006721
adult,income,cat,,,,,0.752656470732756,0.752563±0.002927,0.6580400817581641,0.658703±0.004444,0.6576900467140212,0.657755±0.004182,0.65839598360774,0.658586±0.004404
