dataset,column,type,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std,rmse,rmse_mean_std,mae,mae_mean_std
beijing,year,cat,0.49592911877394635,0.496378±0.008119,0.49594169119212383,0.496216±0.007642,0.4969489462563919,0.497018±0.007844,0.4956575815754956,0.496081±0.007682,,,,
beijing,month,cat,0.47701149425287354,0.476177±0.007812,0.47613062821808355,0.476281±0.007526,0.4763883794734191,0.475969±0.008174,0.47653081198923153,0.476463±0.007751,,,,
beijing,day,cat,0.2533524904214559,0.253309±0.006933,0.25386903767143765,0.253566±0.006685,0.25487893675063183,0.255150±0.006717,0.2554110042642967,0.255877±0.007218,,,,
beijing,hour,cat,0.13649425287356323,0.136632±0.005527,0.1367782619363438,0.136271±0.005391,0.13671044818197756,0.136775±0.005241,0.1374293946655711,0.137737±0.005442,,,,
beijing,pm2.5,num,,,,,,,,,1.1456083103965102,1.145688±0.020958,0.7762009005842344,0.776130±0.013691
beijing,DEWP,num,,,,,,,,,0.3803406752700535,0.379817±0.005704,0.2734525684391284,0.273420±0.004425
beijing,TEMP,num,,,,,,,,,0.3972368064770802,0.396995±0.005183,0.297286465649976,0.297074±0.004193
beijing,PRES,num,,,,,,,,,0.6036260821795965,0.602827±0.008911,0.4443964583452277,0.443893±0.006069
beijing,cbwd,cat,0.5193965517241379,0.518355±0.007740,0.47042329334938315,0.470080±0.008113,0.47088135919029134,0.471220±0.008000,0.4700801668757188,0.469741±0.007802,,,,
beijing,Iws,num,,,,,,,,,1.0344272869320454,1.033192±0.039936,0.45711305861855384,0.458259±0.013667
beijing,Is,num,,,,,,,,,0.9207287405511565,0.903512±0.157542,0.06732163455654243,0.065015±0.013675
beijing,Ir,num,,,,,,,,,0.9751496600537461,0.974385±0.062851,0.1796067800951654,0.180242±0.014550
